arch,hazard_cost,num_steps,run_idx,seed,flag_type,flag_coord,flag_id,flag_set_step,confirming_observations,disconfirming_observations,last_confirmation_step,last_observation_step,transformed_at_step,derived_knowledge_flag_id,derived_from_threat_flag_id
v1_10,0.1,320000,8,1154456462,environment_complete,,environment_complete:end_state,56499,3,0,,56499,,,
v1_10,0.1,320000,9,674510944,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_10,0.1,320000,9,674510944,mastery,att_yellow,mastery:att_yellow,522,1,0,523,523,,,
v1_10,0.1,320000,9,674510944,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,4926,0,0,,4926,,,
v1_10,0.1,320000,9,674510944,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,4933,2,0,4938,4938,,,
v1_10,0.1,320000,9,674510944,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,4935,2,0,4939,4939,,,
v1_10,0.1,320000,9,674510944,mastery,att_free_3,mastery:att_free_3,4971,0,0,,4971,,,
v1_10,0.1,320000,9,674510944,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,4975,2,0,4977,4977,,,
v1_10,0.1,320000,9,674510944,mastery,att_free_2,mastery:att_free_2,5024,4,0,5028,5028,,,
v1_10,1.0,320000,0,496635339,mastery,att_free_1,mastery:att_free_1,520,0,0,,520,,,
v1_10,1.0,320000,0,496635339,mastery,att_yellow,mastery:att_yellow,524,0,0,,524,,,
v1_10,1.0,320000,0,496635339,mastery,att_free_0,mastery:att_free_0,532,0,0,,532,,,
v1_10,1.0,320000,0,496635339,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,537,0,0,,537,,,
v1_10,1.0,320000,0,496635339,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,541,0,0,,541,,,
v1_10,1.0,320000,0,496635339,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,544,1,0,545,545,,,
v1_10,1.0,320000,0,496635339,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,632,0,0,,632,,,
v1_10,1.0,320000,0,496635339,mastery,att_free_3,mastery:att_free_3,636,1,0,637,637,,,
v1_10,1.0,320000,0,496635339,mastery,att_green,mastery:att_green,684,6,0,690,690,,,
v1_10,1.0,320000,1,16689821,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_10,1.0,320000,1,16689821,mastery,att_yellow,mastery:att_yellow,522,2,0,524,524,,,
v1_10,1.0,320000,1,16689821,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,534,0,0,,534,,,
