hazard_mode,hazard_cost,p3_concentration,p3_attractor_ratio,p2_attractor_ratio,mastered_count,top_on_attractor,top_near_attractor,top_attractor,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,hazard_entries_total,total_cost_incurred,rule_violated_total,rule_violated_p3,frame_attempts_total,hazard_attempts_total
cost_no_aversion,1.0,134.852265625,23.414932291666666,19.78585365513733,188,5,5,"(3, 3)",0,14,0,14,14.0,1,0,0,0
cost_no_aversion,1.0,98.924890625,24.160096354166665,21.3480263547579,158,4,5,"(15, 16)",0,29,11,40,40.0,1,1,0,0
cost_no_aversion,2.0,139.916390625,23.469760416666663,15.651736717222924,247,5,5,"(4, 15)",0,81,1,82,164.0,1,0,0,0
cost_no_aversion,2.0,144.202953125,24.328734375,19.5346611755114,188,4,5,"(11, 5)",0,12,0,12,24.0,1,0,0,0
cost_no_aversion,2.0,80.37803125,22.795208333333335,19.993143024386164,177,2,3,"(4, 15)",0,17,0,17,34.0,1,0,0,0
cost_no_aversion,2.0,125.83553125,23.459791666666664,19.60023797328985,185,3,4,"(4, 15)",0,8,3,11,22.0,1,1,0,0
cost_no_aversion,2.0,144.571796875,24.17421875,20.59889480047525,153,4,5,"(16, 3)",0,16,0,16,32.0,1,0,0,0
cost_no_aversion,2.0,124.130875,24.028010416666664,21.649790771653652,151,4,5,"(3, 3)",0,0,6,6,12.0,1,1,0,0
cost_no_aversion,2.0,145.71321875,24.285536458333333,21.7681624489995,95,1,3,"(4, 15)",0,2,0,2,4.0,0,0,0,0
cost_no_aversion,2.0,142.478359375,23.746393229166667,21.94766503952865,100,3,5,"(3, 3)",0,6,0,6,12.0,1,0,0,0
cost_no_aversion,2.0,140.74379687500002,23.522096354166667,17.6685011166975,186,5,5,"(4, 15)",0,24,0,24,48.0,1,0,0,0
cost_no_aversion,2.0,97.47443750000001,23.978997395833332,19.141200388840687,191,5,5,"(11, 5)",0,17,0,17,34.0,1,0,0,0
cost_no_aversion,5.0,141.74565625,23.0602109375,20.708930444205194,128,3,4,"(4, 15)",0,9,0,9,45.0,1,0,0,0
cost_no_aversion,5.0,142.278984375,23.7131640625,18.61825321333626,217,5,5,"(3, 3)",0,17,0,17,85.0,1,0,0,0
cost_no_aversion,5.0,145.658390625,24.252307291666664,21.265777489747634,111,3,4,"(16, 3)",0,4,0,4,20.0,1,0,0,0
cost_no_aversion,5.0,137.324515625,22.983783854166667,14.948731215614949,253,4,4,"(15, 16)",0,51,4,55,275.0,1,1,0,0
cost_no_aversion,5.0,146.505734375,24.417622395833334,18.29592658018794,192,4,5,"(16, 3)",0,31,0,31,155.0,1,0,0,0
cost_no_aversion,5.0,143.973671875,24.19415625,16.655950900152263,248,5,5,"(3, 3)",0,58,1,59,295.0,1,0,0,0
cost_no_aversion,5.0,142.632875,23.772145833333333,19.569672516698198,150,4,4,"(3, 3)",0,58,0,58,290.0,1,0,0,0
cost_no_aversion,5.0,145.9624375,24.327072916666665,19.571895458995773,132,3,5,"(3, 3)",0,15,0,15,75.0,1,0,0,0
cost_no_aversion,5.0,145.86275,24.310458333333333,14.127354036661126,241,3,3,"(15, 16)",0,115,3,118,590.0,1,1,0,0
cost_no_aversion,5.0,145.91259375,24.318765625,21.473622594570866,127,3,4,"(15, 16)",0,39,45,84,420.0,1,1,0,0
cost_no_aversion,10.0,136.851,24.224893229166668,21.80873114593024,165,5,5,"(11, 5)",0,26,2,28,280.0,1,0,0,0
cost_no_aversion,10.0,145.743125,24.290520833333332,19.35682579170543,133,2,3,"(4, 15)",0,38,0,38,380.0,1,0,0,0
cost_no_aversion,10.0,143.38053125,23.89675520833333,19.642473876943765,182,5,5,"(3, 3)",0,21,0,21,210.0,1,0,0,0
cost_no_aversion,10.0,139.637265625,24.0221953125,18.5182208099454,207,5,5,"(11, 5)",0,18,1,19,190.0,1,0,0,0
cost_no_aversion,10.0,146.894515625,24.482419270833333,21.78205583835934,119,4,5,"(3, 3)",0,3,0,3,30.0,1,0,0,0
cost_no_aversion,10.0,140.38990625,24.247322916666665,15.761216625378475,267,5,5,"(4, 15)",0,27,5,32,320.0,1,1,0,0
cost_no_aversion,10.0,139.398015625,23.3841953125,17.970265533593256,211,4,4,"(15, 16)",0,38,2,40,400.0,1,0,0,0
cost_no_aversion,10.0,133.536390625,23.594369791666665,18.17866637399088,221,4,5,"(11, 5)",0,6,0,6,60.0,1,0,0,0
cost_no_aversion,10.0,122.25675,23.690734374999998,17.3617350796322,230,5,5,"(9, 10)",0,4,1,5,50.0,1,0,0,0
cost_no_aversion,10.0,139.348171875,23.2246953125,15.388318054960333,226,3,4,"(15, 16)",0,61,6,67,670.0,1,1,0,0
impassable_no_aversion,0.0,91.553,20.366156249999996,17.553463852798014,256,5,5,"(16, 3)",0,0,0,0,0.0,0,0,0,549
impassable_no_aversion,0.0,146.017265625,24.371932291666667,18.771636231868907,198,5,5,"(9, 10)",0,0,0,0,0.0,0,0,0,1196
impassable_no_aversion,0.0,143.01667187500001,23.821158854166665,15.147684551247877,279,5,5,"(3, 3)",0,0,0,0,0.0,0,0,0,478
impassable_no_aversion,0.0,146.2016875,24.366947916666668,22.298889922545442,81,1,3,"(4, 15)",0,0,0,0,0.0,0,0,0,0
impassable_no_aversion,0.0,131.97628125,23.3991484375,18.737180626256503,218,5,5,"(4, 15)",0,0,0,0,0.0,0,0,0,998
impassable_no_aversion,0.0,114.94965625,23.9873046875,18.440973565104684,213,5,5,"(11, 5)",0,0,0,0,0.0,0,0,0,428
impassable_no_aversion,0.0,146.396078125,24.282213541666664,18.96058632716275,207,5,5,"(3, 3)",0,0,0,0,0.0,0,0,0,708
impassable_no_aversion,0.0,146.804796875,24.4508515625,19.595236353120306,147,5,5,"(11, 5)",0,0,0,0,0.0,0,0,0,0
impassable_no_aversion,0.0,142.767453125,23.794575520833334,19.272353984397594,157,2,3,"(15, 16)",0,0,0,0,0.0,0,0,0,457
impassable_no_aversion,0.0,134.976875,24.409315104166666,20.770061357388496,178,5,5,"(3, 3)",0,0,0,0,0.0,0,0,0,434
