arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran
v1_11,0,271697600,2.0,320000,515,192000,,,,2.0,518,16618,"['att_free_1', 'att_yellow', 'att_green', 'att_free_2', 'att_free_3']",12,5798,True,518,1618,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green']",1,0,0,31,,1,True,locate_family,GREEN,160000,True,16621,143379,False,,,1,798,159,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1223,798,0.3475,True,16839,16827,1,0,0.0,0,0,True
v1_11,1,1939235730,2.0,320000,515,192000,,,,2.0,518,5,"['att_free_1', 'att_yellow', 'att_green', 'att_free_2', 'att_free_3', 'att_free_0']",3,4736,True,518,1953,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_green', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2', 'haz_green']",1,0,0,29,,1,True,locate_family,YELLOW,160000,True,536,159464,False,,,1,1306,370,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2389,1306,0.4533,True,15899,15896,1,0,0.0,0,0,True
v1_11,2,1558629099,2.0,320000,515,192000,46890,251120,251120,10.0,520,221,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green', 'att_free_2']",218,12862,True,520,8327,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green']",1,0,0,32,,1,True,bank_hazard_within_budget,haz_green,160000,True,8327,151673,False,,,0,737,154,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1218,737,0.3949,True,309892,309674,1,0,0.0,0,0,True
v1_11,3,1178022468,2.0,320000,515,192000,,,,2.0,519,99020,"['att_free_1', 'att_free_2']",,,False,519,99020,"['haz_unaff_2', 'haz_unaff_0']",['haz_unaff_2'],1,0,0,,,1,True,locate_family,GREEN,160000,False,,,True,,,0,669,244,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",826,669,0.1901,False,,,0,0,0.0,0,0,False
v1_11,4,698076950,2.0,320000,515,192000,,,,2.0,518,7335,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3']",,,False,518,7301,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0']","['haz_yellow', 'haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,29,,1,True,locate_family,YELLOW,160000,True,23781,136219,False,,,1,904,257,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1199,904,0.246,False,,,1,1,6.0,1,1,False
v1_11,5,317470319,2.0,320000,515,192000,,,,2.0,518,73448,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",45,5095,True,518,73448,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green']",1,0,0,33,,1,True,bank_hazard_within_budget,haz_green,160000,True,73448,86552,False,,,0,733,149,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",937,733,0.2177,True,283209,283164,1,0,0.0,0,0,True
v1_11,6,1985008449,2.0,320000,515,192000,,,,2.0,1367,35225,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0', 'att_green']",218587,,False,1367,35225,"['haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_green']",1,0,0,874,,1,True,locate_family,GREEN,160000,False,,,True,35225,124775,1,998,268,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2251,998,0.5566,True,,,1,1,6.0,1,1,False
v1_11,7,1604401818,2.0,320000,515,192000,,,,10.0,518,19,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green', 'att_free_0']",17,3927,True,518,118148,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_1', 'haz_green']",1,0,0,30,,1,True,locate_family,YELLOW,160000,True,532,159468,False,,,1,860,286,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1103,860,0.2203,True,194269,194252,1,0,0.0,0,0,True
v1_11,8,1124456300,2.0,320000,515,192000,,,,2.0,1085,30798,"['att_yellow', 'att_free_2', 'att_free_0', 'att_free_3']",,,False,1085,22378,"['haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,592,,1,True,bank_hazard_within_budget,haz_green,160000,False,,,True,,,0,684,145,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",866,684,0.2102,False,,,1,1,6.0,1,1,False
v1_11,9,743849669,2.0,320000,515,192000,,,,2.0,518,297383,"['att_free_1', 'att_free_2', 'att_green']",,,False,518,297383,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1']",['haz_unaff_2'],1,0,0,,,1,True,locate_family,GREEN,160000,False,,,True,,,0,677,246,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",856,677,0.2091,False,,,0,0,0.0,0,0,False
v1_11,0,565380326,10.0,320000,515,192000,,,,10.0,520,122401,"['att_free_1', 'att_free_2', 'att_green', 'att_free_0', 'att_yellow']",16,141401,False,520,122401,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_green']",1,0,0,121908,,1,True,locate_family,GREEN,160000,True,141395,18605,False,,,1,1220,396,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3510,1220,0.6524,True,141401,141385,1,0,0.0,0,0,True
v1_11,1,184773695,10.0,320000,515,192000,,,,10.0,723,15051,"['att_free_2', 'att_yellow', 'att_free_3', 'att_free_0', 'att_green']",,,False,723,15051,"['haz_unaff_2', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0', 'haz_yellow']",1,0,0,375,,1,True,locate_family,YELLOW,160000,True,865,159135,False,,,0,793,237,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1009,793,0.2141,False,,,1,1,6.0,1,1,False
v1_11,2,1852311825,10.0,320000,515,192000,,,,10.0,518,3335,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,,False,518,3335,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,30,,1,True,bank_hazard_within_budget,haz_green,160000,True,3335,156665,False,,,0,629,143,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",830,629,0.2422,False,,,1,1,6.0,1,1,False
v1_11,3,1471705194,10.0,320000,515,192000,,,,10.0,1378,1884,"['att_yellow', 'att_free_3', 'att_free_0', 'att_free_2']",,,False,1378,1614,"['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']","['haz_unaff_2', 'haz_unaff_0', 'haz_yellow']",1,0,0,885,,1,True,locate_family,GREEN,160000,False,,,True,,,0,840,296,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1068,840,0.2135,False,,,1,1,6.0,1,1,False
v1_11,4,1091098563,10.0,320000,515,192000,,,,20.0,522,151603,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",119,171923,False,522,151596,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green']",1,1,0,34,13004,2,True,locate_family,YELLOW,160000,False,,,True,527,159473,1,1293,420,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",4531,1293,0.7146,True,171923,171804,2,0,0.0,0,0,True
v1_11,5,611153045,10.0,320000,515,192000,24877,,24877,40.0,59637,92084,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,,False,59637,92084,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,3,59148,,4,True,bank_hazard_within_budget,haz_green,160000,True,92084,67916,False,,,0,687,119,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1079,687,0.3633,False,,,2,1,6.0,1,1,False
v1_11,6,230546414,10.0,320000,515,192000,,,,10.0,518,685,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",15,17,True,518,666,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_green', 'haz_unaff_2']",1,0,0,30,,1,True,locate_family,GREEN,160000,True,19492,140508,False,,,1,895,179,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1705,895,0.4751,True,19517,19502,1,0,0.0,0,0,True
v1_11,7,1898084544,10.0,320000,515,192000,,,,10.0,518,94,"['att_free_1', 'att_free_3', 'att_free_0', 'att_yellow', 'att_green', 'att_free_2']",92,59510,False,518,6263,"['haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_green']","['haz_unaff_2', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_green']",1,0,0,229,,1,True,locate_family,YELLOW,160000,True,738,159262,False,,,1,1632,481,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",6951,1632,0.7652,True,59510,59418,1,0,0.0,0,0,True
v1_11,8,1517477913,10.0,320000,515,192000,,,,10.0,1511,6251,"['att_yellow', 'att_free_3', 'att_free_2', 'att_green', 'att_free_0']",,,False,1511,5732,"['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,1018,,1,True,bank_hazard_within_budget,haz_green,160000,True,5732,154268,False,,,0,649,131,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",822,649,0.2105,False,,,1,1,6.0,1,1,False
v1_11,9,1037532395,10.0,320000,515,192000,,,,20.0,1057,20619,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0']",,,False,1057,18846,"['haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_2']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,1,564,,2,True,locate_family,GREEN,160000,False,,,True,,,0,997,310,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1309,997,0.2383,False,,,2,1,6.0,1,1,False
