arch,hazard_cost,num_steps,run_idx,seed,flag_type,flag_coord,flag_id,flag_set_step,confirming_observations,disconfirming_observations,last_confirmation_step,last_observation_step,transformed_at_step,derived_knowledge_flag_id,derived_from_threat_flag_id
v1_8,1.0,320000,2,1783566838,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,11425,6,0,11431,11431,,,
v1_8,1.0,320000,3,1303621320,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_8,1.0,320000,3,1303621320,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,522,17,0,296865,296865,,,
v1_8,1.0,320000,3,1303621320,mastery,att_free_2,mastery:att_free_2,21934,8,0,21942,21942,,,
v1_8,1.0,320000,3,1303621320,mastery,att_green,mastery:att_green,21948,27,0,21975,21975,,,
v1_8,1.0,320000,3,1303621320,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,24769,0,0,,24769,,,
v1_8,1.0,320000,3,1303621320,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,24772,10,0,24782,24782,,,
v1_8,1.0,320000,3,1303621320,knowledge_banking,haz_green,knowledge_banking:haz_green,24887,0,0,,24887,,,
v1_8,1.0,320000,4,923014689,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_8,1.0,320000,4,923014689,mastery,att_yellow,mastery:att_yellow,522,0,0,,522,,,
v1_8,1.0,320000,4,923014689,mastery,att_free_0,mastery:att_free_0,532,0,0,,532,,,
v1_8,1.0,320000,4,923014689,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,671,9,0,149678,149678,,,
v1_8,1.0,320000,4,923014689,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,153947,1,0,153950,153950,,,
v1_8,1.0,320000,4,923014689,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,153949,0,0,,153949,,,
v1_8,1.0,320000,4,923014689,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,153954,3,0,153957,153957,,,
v1_8,1.0,320000,4,923014689,mastery,att_green,mastery:att_green,153965,990,0,319999,319999,,,
v1_8,1.0,320000,4,923014689,mastery,att_free_2,mastery:att_free_2,153994,8,0,154002,154002,,,
v1_8,1.0,320000,5,542408058,mastery,att_yellow,mastery:att_yellow,1075,2,0,248769,248769,,,
v1_8,1.0,320000,5,542408058,mastery,att_free_2,mastery:att_free_2,5372,0,0,,5372,,,
v1_8,1.0,320000,5,542408058,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,5547,6,0,265154,265154,,,
v1_8,1.0,320000,5,542408058,mastery,att_free_3,mastery:att_free_3,5551,11,0,5564,5564,,,
v1_8,1.0,320000,5,542408058,mastery,att_free_0,mastery:att_free_0,19599,0,0,,19599,,,
v1_8,1.0,320000,5,542408058,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,19604,0,0,,19604,,,
v1_8,1.0,320000,5,542408058,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,19608,0,0,,19608,,,
v1_8,1.0,320000,5,542408058,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,19611,42,0,19653,19653,,,
v1_8,1.0,320000,6,62462540,mastery,att_free_1,mastery:att_free_1,519,3,0,71903,71903,,,
v1_8,1.0,320000,6,62462540,mastery,att_yellow,mastery:att_yellow,523,1,0,39476,39476,,,
v1_8,1.0,320000,6,62462540,mastery,att_free_0,mastery:att_free_0,533,0,0,,533,,,
v1_8,1.0,320000,6,62462540,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,538,0,0,,538,,,
v1_8,1.0,320000,6,62462540,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,542,0,0,,542,,,
v1_8,1.0,320000,6,62462540,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,545,0,0,,545,,,
v1_8,1.0,320000,6,62462540,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,579,16,0,315091,315091,,,
v1_8,1.0,320000,6,62462540,mastery,att_free_2,mastery:att_free_2,21582,30,0,21612,21612,,,
v1_8,1.0,320000,7,1829339557,mastery,att_free_1,mastery:att_free_1,518,1,0,298976,298976,,,
v1_8,1.0,320000,7,1829339557,mastery,att_yellow,mastery:att_yellow,523,7847,0,319998,319998,,,
v1_8,1.0,320000,7,1829339557,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,547,19,0,286086,286086,,,
v1_8,1.0,320000,7,1829339557,mastery,att_free_2,mastery:att_free_2,15400,21,0,15421,15421,,,
v1_8,1.0,320000,7,1829339557,mastery,att_green,mastery:att_green,15428,7,0,15435,15435,,,
v1_8,1.0,320000,7,1829339557,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,15456,0,0,,15456,,,
v1_8,1.0,320000,7,1829339557,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,15461,0,0,,15461,,,
v1_8,1.0,320000,7,1829339557,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,15467,10,0,15477,15477,,,
v1_8,1.0,320000,7,1829339557,knowledge_banking,haz_green,knowledge_banking:haz_green,15551,0,0,,15551,,,
v1_8,1.0,320000,7,1829339557,mastery,att_free_0,mastery:att_free_0,297223,2,0,297225,297225,,,
v1_8,1.0,320000,7,1829339557,end_state_activation,,end_state_activation,297223,22776,0,319999,319999,,,
v1_8,1.0,320000,7,1829339557,end_state_banking,att_free_3,end_state_banking:att_free_3,310156,782,0,311813,311813,,,
v1_8,1.0,320000,8,1349394039,mastery,att_free_1,mastery:att_free_1,518,15,0,318155,318155,,,
v1_8,1.0,320000,8,1349394039,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,522,0,0,,522,,,
v1_8,1.0,320000,8,1349394039,mastery,att_free_3,mastery:att_free_3,526,10,0,536,536,,,
v1_8,1.0,320000,8,1349394039,mastery,att_green,mastery:att_green,555,0,0,,555,,,
v1_8,1.0,320000,8,1349394039,mastery,att_yellow,mastery:att_yellow,22983,14,0,317214,317214,,,
v1_8,1.0,320000,8,1349394039,mastery,att_free_0,mastery:att_free_0,22990,0,0,,22990,,,
v1_8,1.0,320000,8,1349394039,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,22996,0,0,,22996,,,
v1_8,1.0,320000,8,1349394039,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,23000,0,0,,23000,,,
v1_8,1.0,320000,8,1349394039,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,23003,11,0,23014,23014,,,
v1_8,1.0,320000,8,1349394039,knowledge_banking,haz_green,knowledge_banking:haz_green,23052,10,0,23143,23143,,,
v1_8,1.0,320000,8,1349394039,end_state_activation,,end_state_activation,23052,296947,0,319999,319999,,,
v1_8,1.0,320000,8,1349394039,end_state_banking,att_free_2,end_state_banking:att_free_2,23656,761,0,310653,310653,,,
v1_8,1.0,320000,9,968787408,mastery,att_free_1,mastery:att_free_1,518,8,0,237098,237098,,,
v1_8,1.0,320000,9,968787408,mastery,att_yellow,mastery:att_yellow,523,16,0,234881,234881,,,
v1_8,1.0,320000,9,968787408,mastery,att_free_0,mastery:att_free_0,530,0,0,,530,,,
v1_8,1.0,320000,9,968787408,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,538,0,0,,538,,,
v1_8,1.0,320000,9,968787408,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,546,2,0,551,551,,,
v1_8,1.0,320000,9,968787408,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,548,1,0,550,550,,,
v1_8,1.0,320000,9,968787408,mastery,att_green,mastery:att_green,570,4960,0,319995,319995,,,
v1_8,1.0,320000,9,968787408,mastery,att_free_2,mastery:att_free_2,579,4,0,583,583,,,
v1_8,1.0,320000,9,968787408,knowledge_banking,haz_green,knowledge_banking:haz_green,48681,0,0,,48681,,,
v1_8,1.0,320000,9,968787408,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,48827,0,0,,48827,,,
v1_8,1.0,320000,9,968787408,end_state_activation,,end_state_activation,48827,271172,0,319999,319999,,,
v1_8,1.0,320000,9,968787408,end_state_banking,att_free_3,end_state_banking:att_free_3,48829,42,0,48873,48873,,,
v1_8,2.0,320000,0,271697600,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_8,2.0,320000,0,271697600,mastery,att_yellow,mastery:att_yellow,524,1,0,64233,64233,,,
v1_8,2.0,320000,0,271697600,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,1580,2,0,85621,85621,,,
v1_8,2.0,320000,0,271697600,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,1585,0,0,,1585,,,
v1_8,2.0,320000,0,271697600,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,1588,3,0,1591,1591,,,
v1_8,2.0,320000,0,271697600,mastery,att_green,mastery:att_green,1618,35,0,319734,319734,,,
v1_8,2.0,320000,0,271697600,mastery,att_free_2,mastery:att_free_2,1624,1,0,1625,1625,,,
v1_8,2.0,320000,0,271697600,knowledge_banking,haz_green,knowledge_banking:haz_green,48880,0,0,,48880,,,
v1_8,2.0,320000,0,271697600,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,48888,0,0,,48888,,,
v1_8,2.0,320000,0,271697600,mastery,att_free_3,mastery:att_free_3,48891,8,0,48903,48903,,,
v1_8,2.0,320000,0,271697600,end_state_activation,,end_state_activation,48891,271108,0,319999,319999,,,
v1_8,2.0,320000,0,271697600,end_state_banking,att_free_0,end_state_banking:att_free_0,48956,273,0,85616,85616,,,
v1_8,2.0,320000,1,1939235730,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_8,2.0,320000,1,1939235730,mastery,att_yellow,mastery:att_yellow,522,0,0,,522,,,
v1_8,2.0,320000,1,1939235730,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,1467,1,0,120116,120116,,,
v1_8,2.0,320000,1,1939235730,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,1472,2,0,1476,1476,,,
v1_8,2.0,320000,1,1939235730,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,1474,0,0,,1474,,,
v1_8,2.0,320000,1,1939235730,mastery,att_free_3,mastery:att_free_3,2056,0,0,,2056,,,
v1_8,2.0,320000,1,1939235730,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,2060,2,0,2062,2062,,,
v1_8,2.0,320000,1,1939235730,mastery,att_free_2,mastery:att_free_2,181909,11,0,181920,181920,,,
v1_8,2.0,320000,1,1939235730,mastery,att_green,mastery:att_green,181928,85,0,290010,290010,,,
v1_8,2.0,320000,1,1939235730,knowledge_banking,haz_green,knowledge_banking:haz_green,254694,45,0,254973,254973,,,
v1_8,2.0,320000,1,1939235730,end_state_activation,,end_state_activation,254694,65305,0,319999,319999,,,
v1_8,2.0,320000,1,1939235730,end_state_banking,att_free_0,end_state_banking:att_free_0,255106,3736,0,319967,319967,,,
v1_8,2.0,320000,2,1558629099,mastery,att_free_1,mastery:att_free_1,520,6,0,319336,319336,,,
v1_8,2.0,320000,2,1558629099,mastery,att_yellow,mastery:att_yellow,525,3,0,252439,252439,,,
v1_8,2.0,320000,2,1558629099,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,534,0,0,,534,,,
v1_8,2.0,320000,2,1558629099,mastery,att_free_3,mastery:att_free_3,538,22,0,560,560,,,
v1_8,2.0,320000,2,1558629099,mastery,att_green,mastery:att_green,8345,3,0,8348,8348,,,
v1_8,2.0,320000,2,1558629099,mastery,att_free_0,mastery:att_free_0,224742,0,0,,224742,,,
v1_8,2.0,320000,2,1558629099,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,224748,0,0,,224748,,,
v1_8,2.0,320000,2,1558629099,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,224755,90,0,297894,297894,,,
v1_8,2.0,320000,2,1558629099,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,224758,76,0,297906,297906,,,
v1_8,2.0,320000,2,1558629099,knowledge_banking,haz_green,knowledge_banking:haz_green,224924,90,0,297035,297035,,,
v1_8,2.0,320000,2,1558629099,end_state_activation,,end_state_activation,224924,95075,0,319999,319999,,,
v1_8,2.0,320000,2,1558629099,end_state_banking,att_free_2,end_state_banking:att_free_2,225716,9111,0,319969,319969,,,
v1_8,2.0,320000,3,1178022468,mastery,att_free_1,mastery:att_free_1,519,0,0,,519,,,
v1_8,2.0,320000,3,1178022468,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,523,24,0,311726,311726,,,
v1_8,2.0,320000,3,1178022468,mastery,att_free_2,mastery:att_free_2,99020,5,0,99025,99025,,,
v1_8,2.0,320000,4,698076950,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_8,2.0,320000,4,698076950,mastery,att_yellow,mastery:att_yellow,522,0,0,,522,,,
v1_8,2.0,320000,4,698076950,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,724,0,0,,724,,,
v1_8,2.0,320000,4,698076950,mastery,att_free_2,mastery:att_free_2,7300,22,0,7322,7322,,,
v1_8,2.0,320000,4,698076950,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,7328,0,0,,7328,,,
v1_8,2.0,320000,4,698076950,mastery,att_free_3,mastery:att_free_3,7334,50,0,7384,7384,,,
v1_8,2.0,320000,4,698076950,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,7533,0,0,,7533,,,
v1_8,2.0,320000,4,698076950,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,7536,1,0,7537,7537,,,
v1_8,2.0,320000,5,317470319,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
