arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran,haz_blue_approached,predicted_record_written,transfer_triggered_step,env1_mastery_order_sequence,env1_end_state_banked_step
v1_13_8,20,271697600,2.0,16631,,600000,,,,6.0,14216,219555,"['att_free_1', 'att_free_2', 'att_blue', 'att_green', 'att_yellow']",,,False,530,1630,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green', 'haz_unaff_2']",[],1,0,0,31,,1,True,bank_hazard_within_budget,haz_green,500000,True,1630,498370,False,,,0,86,14,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",276,86,0.6884,False,,,1,1,6.0,1,0,True,True,True,16630,"['att_free_1', 'att_yellow', 'att_green', 'att_free_2', 'att_free_3']",
v1_13_8,21,1939235730,2.0,2001,,600000,,,,2.0,5,134,"['att_free_0', 'att_green', 'att_blue', 'att_yellow']",,,False,530,1965,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_green', 'haz_unaff_2']",[],1,0,0,29,,1,True,locate_family,GREEN,500000,True,1998,498002,False,,,1,20,7,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",175,20,0.8857,False,,,1,1,6.0,1,0,True,True,True,2000,"['att_free_1', 'att_yellow', 'att_green', 'att_free_2', 'att_free_3']",
v1_13_8,22,1558629099,2.0,8501,,600000,80737,,80737,10.0,178,34717,"['att_free_0', 'att_green', 'att_blue', 'att_free_1', 'att_free_2']",,,False,532,8339,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']",[],1,0,0,32,,1,True,locate_family,YELLOW,500000,True,545,499455,False,,,1,42,13,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",173,42,0.7572,False,,,1,1,6.0,1,0,True,True,True,8500,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",
v1_13_8,23,1178022468,2.0,1000000,527,600000,,,,2.0,531,99032,"['att_free_1', 'att_free_2']",,,False,531,99032,"['haz_unaff_2', 'haz_unaff_0']",['haz_unaff_2'],1,0,0,,,1,True,bank_hazard_within_budget,haz_green,500000,False,,,True,,,0,2188,351,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2527,2188,0.1342,False,,,0,0,0.0,0,0,False,True,False,,"['att_free_1', 'att_free_2']",
v1_13_8,24,698076950,2.0,852001,,,,,,2.0,19,334300,"['att_free_0', 'att_blue', 'att_yellow', 'att_free_1', 'att_free_3']",,,False,530,851612,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']",[],1,0,0,29,,1,True,locate_family,GREEN,500000,False,,,True,,,0,2893,898,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3594,2893,0.195,False,,,1,1,6.0,1,0,True,True,True,852000,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3', 'att_green']",
v1_13_8,25,317470319,2.0,73501,,600000,89750,,89750,8.0,45,358,"['att_free_0', 'att_free_1', 'att_free_2', 'att_green', 'att_blue', 'att_yellow']",,,False,530,73460,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']",[],1,0,0,33,,1,True,locate_family,YELLOW,500000,True,543,499457,False,,,1,242,81,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",414,242,0.4155,False,,,1,1,6.0,1,0,True,True,True,73500,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",
v1_13_8,26,1985008449,2.0,35501,,600000,,,,4.0,12448,321012,"['att_free_1', 'att_free_2', 'att_blue', 'att_yellow', 'att_free_3', 'att_green']",,,False,1379,35237,"['haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_1', 'haz_green']",[],1,0,0,874,,1,True,bank_hazard_within_budget,haz_green,500000,True,35237,464763,False,,,0,132,22,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",277,132,0.5235,False,,,1,1,6.0,1,0,True,True,True,35500,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0', 'att_green']",
v1_13_8,27,1604401818,2.0,118501,,600000,424621,,424621,8.0,16,20605,"['att_free_1', 'att_free_2', 'att_blue', 'att_yellow']",,,False,530,118160,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']",[],1,0,0,30,,1,True,locate_family,GREEN,500000,False,,,True,118160,381840,1,393,118,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",583,393,0.3259,False,,,1,1,6.0,1,0,True,True,True,118500,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green']",
v1_13_8,28,1124456300,2.0,1000000,527,600000,696094,,696094,8.0,1097,30810,"['att_yellow', 'att_free_2', 'att_free_0', 'att_free_3']",,,False,1097,22390,"['haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,592,,1,True,locate_family,YELLOW,500000,True,16217,483783,False,,,1,2761,703,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3241,2761,0.1481,False,,,1,1,6.0,1,0,False,True,False,,"['att_yellow', 'att_free_2', 'att_free_0', 'att_free_3']",
v1_13_8,29,743849669,2.0,1000000,527,600000,,,,2.0,530,297395,"['att_free_1', 'att_free_2', 'att_green']",,,False,530,297395,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1']","['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,,,1,True,bank_hazard_within_budget,haz_green,500000,True,297395,202605,False,,,0,2263,374,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2642,2263,0.1435,False,,,0,0,0.0,0,0,False,True,False,,"['att_free_1', 'att_free_2', 'att_green']",
