arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran,haz_blue_approached,predicted_record_written,transfer_triggered_step
v1_13_4,26,1985008449,2.0,500000,527,300000,,,,2.0,1379,35237,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0', 'att_green']",,,False,1379,35237,"['haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_green']",1,0,0,874,,1,True,bank_hazard_within_budget,haz_green,250000,True,35237,214763,False,,,0,1397,197,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1782,1397,0.216,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,27,1604401818,2.0,500000,527,300000,,,,2.0,530,118160,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green']",,,False,530,118160,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_1', 'haz_green']",1,0,0,30,,1,True,locate_family,GREEN,250000,True,194189,55811,False,,,1,1777,512,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2288,1777,0.2233,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,28,1124456300,2.0,500000,527,300000,,,,2.0,1097,30810,"['att_yellow', 'att_free_2', 'att_free_0', 'att_free_3']",,,False,1097,22390,"['haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,592,,1,True,locate_family,YELLOW,250000,True,16217,233783,False,,,1,1322,332,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1617,1322,0.1824,False,,,1,1,6.0,1,0,False,True,False,
v1_13_4,29,743849669,2.0,500000,527,300000,,,,2.0,530,297395,"['att_free_1', 'att_free_2', 'att_green']",,,False,530,297395,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1']","['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,,,1,True,bank_hazard_within_budget,haz_green,250000,False,,,True,,,0,1114,182,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1361,1114,0.1815,False,,,0,0,0.0,0,0,False,True,False,
v1_13_4,30,565380326,10.0,500000,527,300000,,,,10.0,532,122413,"['att_free_1', 'att_free_2', 'att_green', 'att_free_0', 'att_yellow']",,,False,532,122413,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_green']",1,0,0,121908,,1,True,locate_family,GREEN,250000,True,141407,108593,False,,,1,2132,443,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",10151,2132,0.79,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,31,184773695,10.0,500000,527,300000,,,,10.0,735,15063,"['att_free_2', 'att_yellow', 'att_free_3', 'att_free_0', 'att_green']",,,False,735,15063,"['haz_unaff_2', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0', 'haz_yellow']",1,0,0,375,,1,True,locate_family,YELLOW,250000,True,877,249123,False,,,0,1373,338,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1685,1373,0.1852,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,32,1852311825,10.0,500000,527,300000,7061,,7061,40.0,530,3347,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,,False,530,3347,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,30,,1,True,bank_hazard_within_budget,haz_green,250000,True,3347,246653,False,,,0,1212,231,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1521,1212,0.2032,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,33,1471705194,10.0,500000,527,300000,,,,10.0,1390,1896,"['att_yellow', 'att_free_3', 'att_free_0', 'att_free_2']",,,False,1390,1626,"['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']","['haz_unaff_2', 'haz_unaff_0', 'haz_yellow']",1,0,0,885,,1,True,locate_family,GREEN,250000,False,,,True,,,0,1561,466,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1943,1561,0.1966,False,,,1,1,6.0,1,0,False,True,False,
v1_13_4,34,1091098563,10.0,500000,527,300000,,,,20.0,534,151615,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",,,False,534,151608,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green']",1,1,0,34,13004,2,True,locate_family,YELLOW,250000,True,169198,80802,False,,,1,1389,459,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1888,1389,0.2643,False,,,2,2,6.0,2,0,False,True,True,
v1_13_4,35,611153045,10.0,500000,527,300000,24889,,24889,40.0,59649,92096,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,,False,59649,92096,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,3,59148,,4,True,bank_hazard_within_budget,haz_green,250000,True,92096,157904,False,,,0,2775,427,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",18655,2775,0.8512,False,,,2,1,6.0,1,0,False,True,True,
v1_13_4,36,230546414,10.0,500000,527,300000,,,,10.0,530,697,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",,,False,530,678,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_green', 'haz_unaff_2']",1,0,0,30,,1,True,locate_family,GREEN,250000,True,19504,230496,False,,,1,1486,421,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1990,1486,0.2533,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,37,1898084544,10.0,500000,527,300000,33989,,33989,40.0,530,6275,"['att_free_1', 'att_free_3', 'att_free_0', 'att_yellow', 'att_green']",,,False,530,6275,"['haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_green']","['haz_unaff_2', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_green']",1,0,0,229,,1,True,locate_family,YELLOW,250000,True,750,249250,False,,,1,1470,470,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1856,1470,0.208,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,38,1517477913,10.0,500000,527,300000,,,,20.0,1523,6263,"['att_yellow', 'att_free_3', 'att_free_2', 'att_green', 'att_free_0']",,,False,1523,5744,"['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,1018,,1,True,bank_hazard_within_budget,haz_green,250000,True,5744,244256,False,,,0,1312,211,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1624,1312,0.1921,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,39,1037532395,10.0,500000,527,300000,,,,20.0,1069,20631,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0']",,,False,1069,18858,"['haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_2']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,1,564,,2,True,locate_family,GREEN,250000,False,,,True,,,0,1721,469,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2196,1721,0.2163,False,,,2,1,6.0,1,0,False,True,False,
