arch,hazard_cost,num_steps,run_idx,seed,phase_1_end,phase_2_end,frame_attempts_p1,frame_attempts_p2,frame_attempts_p3,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,total_cost,mastered_pairs,top_attractor,top_attractor_pref,phase_3_clean,full_run_clean,hazards_flagged,time_to_first_flag,time_to_second_flag,time_to_final_flag,first_entry_conversions,cost_on_sig_matched,actions_gated_p2,actions_gated_p3,attractors_mastered,time_to_first_mastery,time_to_final_mastery,first_banked,mastery_sequence,post_mastery_visits_total,p3_visits_to_mastered,p3_visits_to_unmastered,end_state_cell,activation_step,end_state_found_step,end_state_visits,end_state_banked,post_activation_window,discovery_time,hazards_transitioned,hazards_banked_as_knowledge,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,hazard_thresholds,competency_unlock_steps,knowledge_banked_steps,knowledge_entries_per_cell,pre_transition_entries_per_cell
v0_14,0.5,80000,4,1970314277,331,48000,0,0,0,0,0,0,0.0,256,"(3, 3)",0.0,True,True,0,,,,0,0.0,9000,34,6,790,11668,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(16, 3)|(9, 10)|(15, 16)",2814,31,0,"(4, 9)",13299,13300,16,True,66701,1,5,5,790,11256,"(6, 8)|(5, 8)|(14, 14)|(14, 13)|(5, 9)","(5, 8)|(6, 8)|(14, 13)|(14, 14)|(5, 9)","(5, 8):2|(5, 9):5|(6, 8):1|(14, 13):4|(14, 14):3","(5, 8):3131|(5, 9):11256|(6, 8):790|(14, 13):3588|(14, 14):3411","(5, 8):3320|(5, 9):13299|(6, 8):3321|(14, 13):11500|(14, 14):11501","(5, 8):96|(5, 9):244|(6, 8):93|(14, 13):163|(14, 14):167","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14,0.5,80000,5,1490368759,331,48000,0,0,0,0,4,0,2.0,249,"(3, 3)",0.0,True,False,2,1773,1849,1849,1,1.0,10186,1413,6,392,55396,"(4, 15)","(4, 15)|(3, 3)|(16, 3)|(11, 5)|(9, 10)|(15, 16)",3382,162,0,"(5, 14)",55396,,0,False,24604,,5,5,392,19594,"(5, 8)|(14, 14)|(5, 9)|(14, 13)|(6, 8)","(5, 8)|(5, 9)|(6, 8)|(14, 13)|(14, 14)","(5, 8):1|(5, 9):3|(6, 8):5|(14, 13):4|(14, 14):2","(5, 8):392|(5, 9):5780|(6, 8):19594|(14, 13):9007|(14, 14):2955","(5, 8):1760|(5, 9):19557|(6, 8):26239|(14, 13):50924|(14, 14):50927","(5, 8):528|(5, 9):179|(6, 8):287|(14, 13):60|(14, 14):54","(5, 8):0|(5, 9):1|(6, 8):3|(14, 13):0|(14, 14):0"
v0_14,0.5,80000,6,1109762128,331,48000,0,0,0,0,1,0,0.5,290,"(3, 3)",0.0,True,True,0,,,,0,0.0,10104,1336,6,382,15610,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(16, 3)|(9, 10)|(15, 16)",4344,1841,0,"(17, 15)",15610,15615,26,True,64390,5,5,5,382,13204,"(14, 13)|(5, 8)|(6, 8)|(14, 14)|(5, 9)","(5, 8)|(6, 8)|(5, 9)|(14, 13)|(14, 14)","(5, 8):2|(5, 9):5|(6, 8):3|(14, 13):1|(14, 14):4","(5, 8):533|(5, 9):13204|(6, 8):881|(14, 13):382|(14, 14):1232","(5, 8):9378|(5, 9):13461|(6, 8):9379|(14, 13):15548|(14, 14):15549","(5, 8):238|(5, 9):226|(6, 8):51|(14, 13):809|(14, 14):1148","(5, 8):0|(5, 9):1|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14,0.5,80000,7,629816610,331,48000,0,0,0,0,3,0,1.5,237,"(3, 3)",0.0,True,False,0,,,,0,0.0,11872,5425,6,564,6875,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(16, 3)|(3, 3)",3296,173,0,"(18, 1)",,,0,False,,,5,4,564,3692,"(6, 8)|(5, 8)|(14, 14)|(14, 13)|(5, 9)","(14, 13)|(14, 14)|(5, 9)|(5, 8)","(5, 8):2|(5, 9):5|(6, 8):1|(14, 13):4|(14, 14):3","(5, 8):990|(5, 9):3692|(6, 8):564|(14, 13):2809|(14, 14):1394","(5, 8):38762|(5, 9):38761|(6, 8):None|(14, 13):9960|(14, 14):9961","(5, 8):3|(5, 9):3|(6, 8):2|(14, 13):369|(14, 14):1690","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):2|(14, 14):1"
v0_14,0.5,80000,8,249209979,331,48000,0,0,0,0,3,0,1.5,213,"(3, 3)",0.0,True,False,1,7316,,7316,0,0.0,10344,25,5,814,23443,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(3, 3)|(11, 5)",2667,51,0,"(2, 16)",,,0,False,,,5,5,814,23443,"(6, 8)|(14, 14)|(5, 8)|(5, 9)|(14, 13)","(14, 14)|(6, 8)|(5, 8)|(14, 13)|(5, 9)","(5, 8):3|(5, 9):4|(6, 8):1|(14, 13):5|(14, 14):2","(5, 8):17494|(5, 9):22185|(6, 8):814|(14, 13):23443|(14, 14):6344","(5, 8):17516|(5, 9):30451|(6, 8):17515|(14, 13):23644|(14, 14):6551","(5, 8):73|(5, 9):12|(6, 8):72|(14, 13):100|(14, 14):254","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):3|(14, 14):0"
v0_14,0.5,80000,9,2016086996,331,48000,0,0,0,0,3,0,1.5,281,"(3, 3)",0.0,True,False,1,11458,,11458,0,0.0,7279,729,6,362,28021,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(16, 3)|(3, 3)",2899,487,0,"(11, 3)",28021,32377,7,True,51979,4356,5,5,362,15452,"(14, 14)|(5, 8)|(5, 9)|(6, 8)|(14, 13)","(14, 14)|(5, 8)|(5, 9)|(6, 8)|(14, 13)","(5, 8):2|(5, 9):3|(6, 8):4|(14, 13):5|(14, 14):1","(5, 8):1806|(5, 9):3060|(6, 8):5397|(14, 13):15452|(14, 14):362","(5, 8):12936|(5, 9):12941|(6, 8):12943|(14, 13):16096|(14, 14):3227","(5, 8):147|(5, 9):58|(6, 8):140|(14, 13):671|(14, 14):382","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):3|(14, 14):0"
v0_14,1.0,80000,0,1191821949,331,48000,0,0,0,0,6,0,6.0,226,"(3, 3)",0.0,True,False,1,7789,,7789,0,0.0,14035,4952,4,682,7461,"(9, 10)","(9, 10)|(15, 16)|(16, 3)|(11, 5)",1958,19,0,"(17, 11)",,,0,False,,,4,4,682,7461,"(14, 13)|(5, 9)|(5, 8)|(14, 14)","(14, 13)|(5, 8)|(5, 9)|(14, 14)","(5, 8):3|(5, 9):2|(6, 8):5|(14, 13):1|(14, 14):4","(5, 8):4946|(5, 9):806|(6, 8):None|(14, 13):682|(14, 14):7461","(5, 8):7772|(5, 9):7773|(6, 8):None|(14, 13):3318|(14, 14):8693","(5, 8):14|(5, 9):13|(6, 8):0|(14, 13):435|(14, 14):1050","(5, 8):2|(5, 9):0|(6, 8):3|(14, 13):0|(14, 14):1"
v0_14,1.0,80000,1,811215318,331,48000,0,0,0,0,4,0,4.0,251,"(3, 3)",0.0,True,False,1,9213,,9213,0,0.0,10865,5522,5,1134,18222,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(16, 3)",3009,144,0,"(6, 4)",,,0,False,,,5,3,1134,18222,"(6, 8)|(14, 14)|(5, 8)|(14, 13)|(5, 9)","(6, 8)|(5, 8)|(5, 9)","(5, 8):3|(5, 9):5|(6, 8):1|(14, 13):4|(14, 14):2","(5, 8):3653|(5, 9):18222|(6, 8):1134|(14, 13):13127|(14, 14):3556","(5, 8):4372|(5, 9):23669|(6, 8):3601|(14, 13):None|(14, 14):None","(5, 8):1108|(5, 9):624|(6, 8):1214|(14, 13):0|(14, 14):0","(5, 8):1|(5, 9):3|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14,1.0,80000,2,331269800,331,48000,0,0,0,0,4,0,4.0,221,"(3, 3)",0.0,True,False,2,973,977,977,1,1.0,9332,93,6,442,26798,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(3, 3)|(11, 5)|(16, 3)",629,153,0,"(17, 3)",29635,,0,False,50365,,5,5,442,26755,"(5, 8)|(14, 13)|(14, 14)|(5, 9)|(6, 8)","(5, 8)|(14, 14)|(14, 13)|(5, 9)|(6, 8)","(5, 8):1|(5, 9):4|(6, 8):5|(14, 13):2|(14, 14):3","(5, 8):442|(5, 9):25781|(6, 8):26755|(14, 13):986|(14, 14):9830","(5, 8):922|(5, 9):26131|(6, 8):29635|(14, 13):9840|(14, 14):9839","(5, 8):1908|(5, 9):2907|(6, 8):639|(14, 13):220|(14, 14):235","(5, 8):0|(5, 9):1|(6, 8):3|(14, 13):0|(14, 14):0"
v0_14,1.0,80000,3,2098146817,331,48000,0,0,0,0,3,0,3.0,239,"(3, 3)",0.0,True,False,1,3918,,3918,0,0.0,7976,1581,6,506,5942,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(9, 10)|(15, 16)|(16, 3)",3113,874,0,"(6, 1)",12164,43370,25,True,67836,31206,5,5,506,5184,"(6, 8)|(14, 13)|(14, 14)|(5, 8)|(5, 9)","(6, 8)|(14, 13)|(14, 14)|(5, 9)|(5, 8)","(5, 8):4|(5, 9):5|(6, 8):1|(14, 13):2|(14, 14):3","(5, 8):4946|(5, 9):5184|(6, 8):506|(14, 13):4199|(14, 14):4851","(5, 8):12164|(5, 9):12163|(6, 8):3679|(14, 13):5106|(14, 14):5109","(5, 8):1389|(5, 9):1391|(6, 8):582|(14, 13):295|(14, 14):275","(5, 8):3|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14,1.0,80000,4,1717540186,331,48000,0,0,0,0,3,0,3.0,236,"(3, 3)",0.0,True,False,1,2784,,2784,0,0.0,4526,331,5,1302,6454,"(9, 10)","(9, 10)|(11, 5)|(3, 3)|(4, 15)|(16, 3)",2078,466,0,"(1, 8)",,,0,False,,,5,4,1302,6454,"(5, 9)|(14, 13)|(6, 8)|(5, 8)|(14, 14)","(6, 8)|(5, 9)|(5, 8)|(14, 13)","(5, 8):4|(5, 9):1|(6, 8):3|(14, 13):2|(14, 14):5","(5, 8):3372|(5, 9):1302|(6, 8):1639|(14, 13):1329|(14, 14):6454","(5, 8):4240|(5, 9):2137|(6, 8):2129|(14, 13):6310|(14, 14):None","(5, 8):726|(5, 9):1189|(6, 8):1121|(14, 13):3|(14, 14):0","(5, 8):3|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14,1.0,80000,5,1237594668,331,48000,0,0,0,0,3,0,3.0,254,"(3, 3)",0.0,True,False,0,,,,0,0.0,8627,3741,6,350,9186,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(16, 3)|(11, 5)|(15, 16)",2105,140,0,"(4, 4)",9186,11015,292,True,70814,1829,5,5,350,3335,"(14, 14)|(5, 8)|(5, 9)|(14, 13)|(6, 8)","(5, 8)|(6, 8)|(5, 9)|(14, 14)|(14, 13)","(5, 8):2|(5, 9):3|(6, 8):5|(14, 13):4|(14, 14):1","(5, 8):605|(5, 9):3040|(6, 8):3335|(14, 13):3324|(14, 14):350","(5, 8):2986|(5, 9):6541|(6, 8):4719|(14, 13):9122|(14, 14):9121","(5, 8):33|(5, 9):20|(6, 8):38|(14, 13):887|(14, 14):388","(5, 8):1|(5, 9):2|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14,1.0,80000,6,856988037,331,48000,0,0,0,0,6,0,6.0,238,"(3, 3)",0.0,True,False,2,1820,2020,2020,1,1.0,8127,9,6,350,47645,"(9, 10)","(9, 10)|(11, 5)|(15, 16)|(16, 3)|(4, 15)|(3, 3)",1395,96,0,"(2, 17)",47645,,0,False,32355,,5,5,350,31958,"(14, 14)|(5, 9)|(6, 8)|(5, 8)|(14, 13)","(5, 9)|(6, 8)|(14, 14)|(5, 8)|(14, 13)","(5, 8):4|(5, 9):2|(6, 8):3|(14, 13):5|(14, 14):1","(5, 8):3746|(5, 9):643|(6, 8):1350|(14, 13):31958|(14, 14):350","(5, 8):29566|(5, 9):1781|(6, 8):1787|(14, 13):32562|(14, 14):1997","(5, 8):214|(5, 9):218|(6, 8):65|(14, 13):586|(14, 14):796","(5, 8):3|(5, 9):2|(6, 8):0|(14, 13):1|(14, 14):0"
v0_14,1.0,80000,7,377042519,331,48000,0,0,0,0,4,0,4.0,250,"(3, 3)",0.0,True,False,1,6165,,6165,0,0.0,8059,301,6,708,11072,"(4, 15)","(4, 15)|(11, 5)|(16, 3)|(15, 16)|(3, 3)|(9, 10)",2443,288,0,"(16, 14)",11072,11243,18,True,68928,171,5,5,708,7315,"(14, 14)|(14, 13)|(5, 8)|(5, 9)|(6, 8)","(14, 13)|(14, 14)|(5, 9)|(5, 8)|(6, 8)","(5, 8):3|(5, 9):4|(6, 8):5|(14, 13):2|(14, 14):1","(5, 8):1938|(5, 9):5486|(6, 8):7315|(14, 13):1869|(14, 14):708","(5, 8):6066|(5, 9):6065|(6, 8):7449|(14, 13):5474|(14, 14):5475","(5, 8):442|(5, 9):172|(6, 8):866|(14, 13):243|(14, 14):234","(5, 8):0|(5, 9):1|(6, 8):3|(14, 13):0|(14, 14):0"
v0_14,1.0,80000,8,2143919536,331,48000,0,0,0,0,3,0,3.0,238,"(3, 3)",0.0,True,False,0,,,,0,0.0,14492,1319,6,478,49987,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(16, 3)|(3, 3)",2080,218,0,"(1, 7)",50065,75021,36,True,29935,24956,5,5,478,36008,"(14, 14)|(14, 13)|(5, 8)|(6, 8)|(5, 9)","(14, 14)|(14, 13)|(5, 8)|(5, 9)|(6, 8)","(5, 8):3|(5, 9):5|(6, 8):4|(14, 13):2|(14, 14):1","(5, 8):18974|(5, 9):36008|(6, 8):35857|(14, 13):14728|(14, 14):478","(5, 8):35434|(5, 9):40145|(6, 8):50065|(14, 13):15648|(14, 14):15645","(5, 8):124|(5, 9):23|(6, 8):21|(14, 13):707|(14, 14):341","(5, 8):0|(5, 9):1|(6, 8):2|(14, 13):0|(14, 14):0"
v0_14,1.0,80000,9,1663974018,331,48000,0,0,0,0,6,0,6.0,263,"(3, 3)",0.0,True,False,2,1295,1312,1312,1,1.0,10486,1277,6,849,35164,"(11, 5)","(11, 5)|(9, 10)|(16, 3)|(3, 3)|(15, 16)|(4, 15)",2218,149,0,"(6, 10)",35164,35455,56,True,44836,291,5,5,849,15310,"(5, 9)|(14, 14)|(14, 13)|(5, 8)|(6, 8)","(5, 9)|(14, 13)|(14, 14)|(5, 8)|(6, 8)","(5, 8):4|(5, 9):1|(6, 8):5|(14, 13):3|(14, 14):2","(5, 8):7415|(5, 9):849|(6, 8):15310|(14, 13):3246|(14, 14):886","(5, 8):7550|(5, 9):1155|(6, 8):18389|(14, 13):7164|(14, 14):7165","(5, 8):454|(5, 9):122|(6, 8):1549|(14, 13):286|(14, 14):285","(5, 8):3|(5, 9):0|(6, 8):3|(14, 13):0|(14, 14):0"
v0_14,2.0,80000,0,966884210,331,48000,0,0,0,0,3,0,6.0,244,"(3, 3)",0.0,True,False,1,909,,909,0,0.0,5884,2633,6,384,11728,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(16, 3)|(3, 3)|(9, 10)",3475,270,0,"(7, 14)",11728,12134,38,True,68272,406,5,5,384,3233,"(5, 9)|(5, 8)|(6, 8)|(14, 13)|(14, 14)","(5, 8)|(5, 9)|(6, 8)|(14, 14)|(14, 13)","(5, 8):2|(5, 9):1|(6, 8):3|(14, 13):4|(14, 14):5","(5, 8):884|(5, 9):384|(6, 8):2175|(14, 13):2678|(14, 14):3233","(5, 8):3526|(5, 9):3527|(6, 8):3533|(14, 13):7036|(14, 14):7035","(5, 8):258|(5, 9):245|(6, 8):21|(14, 13):266|(14, 14):283","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):3"
v0_14,2.0,80000,1,586277579,331,48000,0,0,0,0,5,0,10.0,241,"(3, 3)",0.0,True,False,2,822,963,963,1,1.0,9311,142,5,348,13148,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(11, 5)|(16, 3)",2708,172,0,"(18, 16)",,,0,False,,,5,5,348,13148,"(5, 9)|(5, 8)|(14, 13)|(14, 14)|(6, 8)","(5, 9)|(5, 8)|(6, 8)|(14, 13)|(14, 14)","(5, 8):2|(5, 9):1|(6, 8):5|(14, 13):3|(14, 14):4","(5, 8):5439|(5, 9):348|(6, 8):13148|(14, 13):5546|(14, 14):6433","(5, 8):6100|(5, 9):655|(6, 8):14943|(14, 13):30572|(14, 14):30573","(5, 8):450|(5, 9):1894|(6, 8):307|(14, 13):45|(14, 14):42","(5, 8):3|(5, 9):0|(6, 8):2|(14, 13):0|(14, 14):0"
v0_14,2.0,80000,2,106332061,331,48000,0,0,0,0,0,0,0.0,244,"(3, 3)",0.0,True,True,0,,,,0,0.0,8024,563,6,444,13708,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(16, 3)|(3, 3)|(9, 10)",1642,1,0,"(11, 3)",13708,14625,38,True,66292,917,5,5,444,13379,"(14, 13)|(14, 14)|(5, 8)|(5, 9)|(6, 8)","(14, 13)|(14, 14)|(5, 8)|(5, 9)|(6, 8)","(5, 8):3|(5, 9):4|(6, 8):5|(14, 13):1|(14, 14):2","(5, 8):5611|(5, 9):9514|(6, 8):13379|(14, 13):444|(14, 14):812","(5, 8):13684|(5, 9):13685|(6, 8):13691|(14, 13):846|(14, 14):1801","(5, 8):14|(5, 9):13|(6, 8):4|(14, 13):308|(14, 14):268","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
