hazard_mode,hazard_cost,p3_concentration,p3_attractor_ratio,p2_attractor_ratio,mastered_count,top_on_attractor,top_near_attractor,top_attractor,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,hazard_entries_total,total_cost_incurred,rule_violated_total,rule_violated_p3,frame_attempts_total,hazard_attempts_total
cost_no_aversion,1.0,131.627375,22.502791666666667,12.265375496329305,59,2,3,"(4, 15)",0,5,4,9,9.0,1,1,0,0
cost_no_aversion,1.0,89.958,20.548916666666667,6.346830633873225,83,3,3,"(15, 16)",0,16,3,19,19.0,1,1,0,0
cost_no_aversion,1.0,42.945375,8.932,4.396763504441969,95,3,3,"(9, 10)",0,1,1,2,2.0,0,0,0,0
cost_no_aversion,1.0,139.80175,23.37339583333333,18.812680321078638,53,2,4,"(4, 15)",0,5,0,5,5.0,1,0,0,0
cost_no_aversion,1.0,107.74225,23.2271875,16.748707401376866,64,2,5,"(16, 3)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,1.0,60.21125,0.37216666666666665,2.979775473476733,87,2,2,"(4, 15)",0,19,1,20,20.0,1,0,0,0
cost_no_aversion,1.0,74.88525,12.148583333333333,14.08331190904676,57,3,4,"(9, 10)",0,12,16,28,28.0,1,1,0,0
cost_no_aversion,2.0,102.31925,17.3855,11.600165681149484,76,3,4,"(15, 16)",0,9,1,10,20.0,1,0,0,0
cost_no_aversion,2.0,145.424125,24.237354166666663,18.835461479132743,49,2,4,"(9, 10)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,2.0,136.13325,22.635708333333334,20.534935869968862,39,1,3,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,2.0,75.403625,8.706041666666666,14.215442625760563,77,4,4,"(9, 10)",0,2,1,3,6.0,1,0,0,0
cost_no_aversion,2.0,59.972,0.0,0.8474590796126489,63,1,1,"(3, 3)",0,4,0,4,8.0,1,0,0,0
cost_no_aversion,2.0,81.38487500000001,19.159937499999998,13.381652240980376,92,5,5,"(4, 15)",0,2,6,8,16.0,1,1,0,0
cost_no_aversion,2.0,83.0995,14.235375,8.470034564515666,75,3,5,"(11, 5)",0,8,1,9,18.0,1,0,0,0
cost_no_aversion,2.0,139.682125,23.280354166666665,12.62531779358414,77,4,5,"(3, 3)",0,1,5,6,12.0,1,1,0,0
cost_no_aversion,2.0,53.711625,13.172041666666665,19.60090838975062,72,3,5,"(16, 3)",0,2,3,5,10.0,1,1,0,0
cost_no_aversion,2.0,145.424125,24.237354166666663,19.705701716799496,54,3,5,"(3, 3)",0,4,0,4,8.0,1,0,0,0
cost_no_aversion,5.0,61.925875000000005,2.0070416666666664,8.556602965121261,86,5,5,"(4, 15)",0,17,5,22,110.0,1,1,0,0
cost_no_aversion,5.0,142.67275,23.778791666666663,18.675993372754018,38,1,3,"(16, 3)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,5.0,114.162125,21.785041666666665,12.748336047076299,71,3,4,"(16, 3)",0,0,4,4,20.0,1,1,0,0
cost_no_aversion,5.0,137.927625,22.9879375,19.728482874853597,47,1,3,"(16, 3)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,5.0,147.736875,24.6228125,18.206701516839487,36,2,4,"(3, 3)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,5.0,142.4335,23.665812499999998,15.691661667666466,52,2,3,"(3, 3)",0,0,0,0,0.0,0,0,0,0
