arch,hazard_cost,num_steps,run_idx,seed,green_colour_cell_coord,green_attractor_coord,green_hazard_coord,green_cell_registered,green_cell_first_perception_step,green_cell_first_perception_mode,green_attractor_mastered,green_attractor_mastery_step,green_attractor_colour,green_attractor_form,green_knowledge_banked,green_knowledge_banked_step,green_knowledge_colour,green_knowledge_form,green_crossref_complete,green_crossref_flag_id,yellow_colour_cell_coord,yellow_attractor_coord,yellow_hazard_coord,yellow_cell_registered,yellow_cell_first_perception_step,yellow_cell_first_perception_mode,yellow_attractor_mastered,yellow_attractor_mastery_step,yellow_attractor_colour,yellow_attractor_form,yellow_knowledge_banked,yellow_knowledge_banked_step,yellow_knowledge_colour,yellow_knowledge_form,yellow_crossref_complete,yellow_crossref_flag_id,family_traversal_narrative
v1_3,1.0,20000,4,24326770,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,2643,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,False,,YELLOW,TRIANGLE_2D,False,,YELLOW,PYRAMID_3D,False,,84:colour_registered:YELLOW|215:colour_registered:GREEN|414:attractor_mastered:GREEN|2643:knowledge_banked:GREEN
v1_3,1.0,20000,5,1691864900,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,2121,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,4746,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|512:attractor_mastered:GREEN|2121:knowledge_banked:GREEN|2440:attractor_mastered:YELLOW|4746:knowledge_banked:YELLOW
v1_3,1.0,20000,6,1311258269,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,1655,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,False,,YELLOW,TRIANGLE_2D,False,,YELLOW,PYRAMID_3D,False,,84:colour_registered:YELLOW|215:colour_registered:GREEN|1082:attractor_mastered:GREEN|1655:knowledge_banked:GREEN
v1_3,1.0,20000,7,831312751,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,841,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,False,,YELLOW,TRIANGLE_2D,False,,YELLOW,PYRAMID_3D,False,,84:colour_registered:YELLOW|215:colour_registered:GREEN|632:attractor_mastered:GREEN|841:knowledge_banked:GREEN
v1_3,1.0,20000,8,450706120,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,False,,GREEN,SPHERE_3D,False,,"(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,8978,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|422:attractor_mastered:GREEN|7438:attractor_mastered:YELLOW|8978:knowledge_banked:YELLOW
v1_3,1.0,20000,9,70099489,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,False,,GREEN,SPHERE_3D,False,,"(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,8116,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|410:attractor_mastered:GREEN|4728:attractor_mastered:YELLOW|8116:knowledge_banked:YELLOW
v1_3,2.0,20000,0,1031269394,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,False,,GREEN,SPHERE_3D,False,,"(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,13860,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|470:attractor_mastered:GREEN|3092:attractor_mastered:YELLOW|13860:knowledge_banked:YELLOW
v1_3,2.0,20000,1,551323876,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,6189,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,4828,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|594:attractor_mastered:GREEN|3276:attractor_mastered:YELLOW|4828:knowledge_banked:YELLOW|6189:knowledge_banked:GREEN
v1_3,2.0,20000,2,170717245,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,True,3813,GREEN,SPHERE_3D,True,"(4, 15)","(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,10812,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|434:attractor_mastered:GREEN|3813:knowledge_banked:GREEN|7724:attractor_mastered:YELLOW|10812:knowledge_banked:YELLOW
v1_3,2.0,20000,3,1838255375,"(7, 13)","(4, 15)","(14, 14)",True,215,adjacent,True,,GREEN,SQUARE_2D,False,,GREEN,SPHERE_3D,False,,"(13, 6)","(16, 3)","(5, 8)",True,84,adjacent,True,,YELLOW,TRIANGLE_2D,True,12494,YELLOW,PYRAMID_3D,True,"(16, 3)",84:colour_registered:YELLOW|215:colour_registered:GREEN|380:attractor_mastered:GREEN|698:attractor_mastered:YELLOW|12494:knowledge_banked:YELLOW
