i_cost,i_steps,i_run_idx,j_cost,j_steps,j_run_idx,d_order,d_content,d_xref,d_conf,d_composite,same_cell
0.1,20000,0,0.5,20000,4,0.333333,0.230769,1.000000,0.362847,0.481737,0
0.1,20000,0,0.5,20000,5,0.444444,0.357143,1.000000,0.449147,0.562683,0
0.1,20000,0,0.5,20000,6,0.257576,0.076923,1.000000,0.020994,0.338873,0
0.1,20000,0,0.5,20000,7,0.560606,0.200000,1.000000,0.299661,0.515067,0
0.1,20000,0,0.5,20000,8,0.266667,0.571429,1.000000,0.318332,0.539107,0
0.1,20000,0,0.5,20000,9,0.327273,0.214286,0.500000,0.418406,0.364991,0
0.1,20000,0,0.5,80000,0,0.378788,0.142857,1.000000,0.406074,0.481930,0
0.1,20000,0,0.5,80000,1,0.454545,0.142857,1.000000,0.377588,0.493748,0
0.1,20000,0,0.5,80000,2,0.424242,0.142857,1.000000,0.137644,0.426186,0
0.1,20000,0,0.5,80000,3,0.377778,0.230769,1.000000,0.430712,0.509815,0
0.1,20000,0,0.5,80000,4,0.515152,0.142857,1.000000,0.378129,0.509035,0
0.1,20000,0,0.5,80000,5,0.545455,0.200000,1.000000,0.318413,0.515967,0
0.1,20000,0,0.5,80000,6,0.530303,0.142857,1.000000,0.236709,0.477467,0
0.1,20000,0,0.5,80000,7,0.311111,0.230769,1.000000,0.269989,0.452967,0
0.1,20000,0,0.5,80000,8,0.244444,0.285714,1.000000,0.377412,0.476893,0
0.1,20000,0,0.5,80000,9,0.242424,0.200000,1.000000,0.329451,0.442969,0
0.1,20000,0,0.5,160000,0,0.348485,0.200000,1.000000,0.367634,0.479030,0
0.1,20000,0,0.5,160000,1,0.294872,0.071429,0.000000,0.368672,0.183743,0
0.1,20000,0,0.5,160000,2,0.348485,0.294118,1.000000,0.507250,0.537463,0
0.1,20000,0,0.5,160000,3,0.378788,0.200000,1.000000,0.428071,0.501715,0
0.1,20000,0,0.5,160000,4,0.348485,0.200000,1.000000,0.312740,0.465306,0
0.1,20000,0,0.5,160000,5,0.409091,0.200000,1.000000,0.307847,0.479234,0
0.1,20000,0,0.5,160000,6,0.333333,0.133333,0.500000,0.506657,0.368331,0
0.1,20000,0,0.5,160000,7,0.474359,0.133333,0.500000,0.541251,0.412236,0
0.1,20000,0,0.5,160000,8,0.363636,0.142857,1.000000,0.389602,0.474024,0
0.1,20000,0,0.5,160000,9,0.348485,0.142857,1.000000,0.317757,0.452275,0
0.1,20000,0,1.0,20000,0,0.300000,0.615385,1.000000,0.406191,0.580394,0
0.1,20000,0,1.0,20000,1,0.303030,0.142857,1.000000,0.377975,0.455966,0
