arch,run_idx,agent,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran,haz_blue_approached,predicted_record_written,transfer_triggered_step,env1_mastery_order_sequence,env1_end_state_banked_step,return_env1_ran,arc_complete,arc_timeout,ineligible_reason,return_step,transformation_step,arc_total_steps,social_corroboration_fired,social_observation_step,zpd_delta
v1_15_3,10,a,10,1.0,543660,,,,,,1.0,,,[],,,True,532,44,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_green', 'haz_unaff_2']",[],1,0,0,,,1,True,locate_family,YELLOW,500000,True,664,499336,False,,,1,177,55,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",337,177,0.4748,False,,,1,0,0.0,0,0,True,True,True,59000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,True,True,False,,0,16,59016,False,,171718
v1_15_3,10,b,20010,1.0,543660,,,,,,1.0,15,15,['att_free_0'],,,True,550,15,"['haz_unaff_0', 'haz_unaff_1', 'haz_green', 'haz_unaff_0', 'haz_blue']",[],1,0,0,,,1,True,locate_family,YELLOW,500000,True,545,499455,False,,,1,1427,469,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1717,1427,0.1689,False,,,1,0,0.0,0,0,True,True,True,543567,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,True,True,False,,0,15,543582,True,42,-312848
v1_15_3,11,a,1010,1.0,374862,,,,,,3.0,12,12,['att_free_0'],,,True,532,12,"['haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_blue']",[],1,0,0,,,1,True,bank_hazard_within_budget,haz_green,500000,True,4205,495795,False,,,0,41,8,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",150,41,0.7267,False,,,1,0,0.0,0,0,True,True,True,9324,"['att_free_1', 'att_free_3', 'att_free_0', 'att_yellow', 'att_green']",,True,True,False,,0,12,9336,True,63,221398
v1_15_3,11,b,21010,1.0,374862,,,22446,,22446,4.0,,,[],,,True,4204,66,"['haz_green', 'haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0']",[],1,0,0,,,1,True,bank_hazard_within_budget,haz_green,500000,True,4204,495796,False,,,0,881,148,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1108,881,0.2049,False,,,1,0,0.0,0,0,True,True,True,374794,"['att_free_1', 'att_free_3', 'att_green', 'att_yellow', 'att_free_0']",,True,True,False,,0,12,374806,True,64,-144072
v1_15_3,12,a,2010,1.0,1038644,,,,,,1.0,,,[],,,False,532,36097,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1']",[],1,0,0,,,1,True,locate_family,GREEN,500000,True,39070,460930,False,,,1,2860,859,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3340,2860,0.1437,False,,,1,0,0.0,0,0,False,True,True,,"['att_free_1', 'att_free_2', 'att_green']",,False,False,True,,,,,False,,
v1_15_3,12,b,22010,1.0,1038644,,,,,,1.0,36,36,['att_free_0'],,,True,94071,36,"['haz_yellow', 'haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_blue']",[],1,0,0,,,1,True,locate_family,GREEN,500000,True,56250,443750,False,,,0,295,75,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",449,295,0.343,False,,,1,0,0.0,0,0,True,True,True,94500,"['att_free_1', 'att_free_2', 'att_green', 'att_yellow', 'att_free_0']",,True,True,False,,0,36,94536,False,,136198
v1_15_3,13,a,3010,1.0,440889,,,,,,1.0,11,11,['att_free_0'],,,True,546,11,"['haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2', 'haz_blue']",[],1,0,0,,,1,True,locate_family,YELLOW,500000,False,,,False,,,1,1188,404,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1436,1188,0.1727,False,,,1,0,0.0,0,0,True,True,True,440339,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,True,True,False,,0,11,440350,False,,-209616
v1_15_3,13,b,23010,1.0,440889,,,,,,1.0,,,[],,,True,532,548,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_green', 'haz_unaff_1']",[],1,0,0,,,1,True,locate_family,YELLOW,500000,True,5965,494035,False,,,1,30,8,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",151,30,0.8013,False,,,1,0,0.0,0,0,True,True,True,6000,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_0']",,True,True,False,,0,11,6011,True,86,224723
v1_15_3,14,a,4010,1.0,23155,,,,,,1.0,,,[],,,True,1068,38,"['haz_green', 'haz_unaff_1', 'haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_unaff_2', 'haz_blue']",[],1,0,0,,,1,True,bank_hazard_within_budget,haz_green,500000,True,1068,498932,False,,,0,76,15,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",202,76,0.6238,False,,,1,0,0.0,0,0,True,True,True,22466,"['att_free_2', 'att_green', 'att_free_3', 'att_yellow', 'att_free_0']",,True,True,False,,0,38,22504,False,,208230
v1_15_3,14,b,24010,1.0,23155,,,,,,1.0,,,[],,,True,667,53,"['haz_unaff_0', 'haz_yellow', 'haz_yellow']",[],1,0,0,,,1,True,bank_hazard_within_budget,haz_green,500000,True,1068,498932,False,,,0,69,12,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",186,69,0.629,False,,,1,0,0.0,0,0,True,True,True,23029,"['att_yellow', 'att_free_2', 'att_green', 'att_free_0', 'att_free_3']",,True,True,False,,0,38,23067,True,46,207667
