arch,hazard_cost,num_steps,run_idx,seed,phase_1_end,phase_2_end,frame_attempts_p1,frame_attempts_p2,frame_attempts_p3,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,total_cost,mastered_pairs,top_attractor,top_attractor_pref,phase_3_clean,full_run_clean,hazards_flagged,time_to_first_flag,time_to_second_flag,time_to_final_flag,first_entry_conversions,cost_on_sig_matched,actions_gated_p2,actions_gated_p3,attractors_mastered,time_to_first_mastery,time_to_final_mastery,first_banked,mastery_sequence,post_mastery_visits_total,p3_visits_to_mastered,p3_visits_to_unmastered,end_state_cell,activation_step,end_state_found_step,end_state_visits,end_state_banked,post_activation_window,discovery_time
v0_13,1.0,20000,4,24326770,331,12000,0,0,0,0,6,0,6.0,75,"(3, 3)",0.0,True,False,3,913,2642,7291,2,2.0,3920,524,2,410,2680,"(4, 15)","(4, 15)|(15, 16)",2086,1265,0,"(17, 14)",,,0,False,,
v0_13,1.0,20000,5,1691864900,331,12000,0,0,0,0,8,0,8.0,99,"(3, 3)",0.0,True,False,3,6819,6837,7459,2,2.0,4429,2747,6,508,9085,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(11, 5)|(16, 3)|(3, 3)",385,0,0,"(1, 15)",9085,,0,False,10915,
v0_13,1.0,20000,6,1311258269,331,12000,0,0,0,0,2,3,5.0,93,"(3, 3)",0.0,False,False,1,15993,,15993,0,0.0,2718,452,5,1078,8708,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(16, 3)|(9, 10)",957,343,0,"(12, 1)",,,0,False,,
v0_13,1.0,20000,7,831312751,331,12000,0,0,0,0,6,0,6.0,100,"(3, 3)",0.0,True,False,3,878,8258,8259,2,2.0,2559,2112,5,628,3646,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(16, 3)",688,140,0,"(7, 18)",,,0,False,,
v0_13,1.0,20000,8,450706120,331,12000,0,0,0,0,8,0,8.0,70,"(3, 3)",0.0,True,False,2,5040,5615,5615,1,1.0,3901,1471,3,418,9982,"(4, 15)","(4, 15)|(3, 3)|(16, 3)",855,166,0,"(13, 18)",,,0,False,,
v0_13,1.0,20000,9,70099489,331,12000,0,0,0,0,7,0,7.0,102,"(3, 3)",0.0,True,False,3,688,1481,8273,2,2.0,4177,1133,5,406,7866,"(4, 15)","(4, 15)|(11, 5)|(3, 3)|(16, 3)|(9, 10)",787,26,0,"(18, 16)",,,0,False,,
v0_13,2.0,20000,0,1031269394,331,12000,0,0,0,0,8,2,20.0,95,"(3, 3)",0.0,True,False,5,2045,3060,14798,4,4.0,2673,621,5,466,16373,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(15, 16)|(11, 5)",1707,854,0,"(7, 12)",,,0,False,,
v0_13,2.0,20000,1,551323876,331,12000,0,0,0,0,4,0,8.0,76,"(3, 3)",0.0,True,False,0,,,,0,0.0,2380,3408,5,590,3331,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(3, 3)",1709,560,0,"(8, 2)",,,0,False,,
v0_13,2.0,20000,2,170717245,331,12000,0,0,0,0,6,0,12.0,80,"(3, 3)",0.0,True,False,3,3887,6435,6437,2,2.0,3978,3390,4,430,7465,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)",876,23,0,"(8, 17)",,,0,False,,
v0_13,2.0,20000,3,1838255375,331,12000,0,0,0,0,0,1,2.0,92,"(3, 3)",0.0,True,True,0,,,,0,0.0,4125,597,5,376,7081,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(11, 5)|(3, 3)",1881,954,0,"(12, 7)",,,0,False,,
v0_13,2.0,20000,4,1457648744,331,12000,0,0,0,0,5,0,10.0,93,"(3, 3)",0.0,True,False,2,10033,10036,10036,1,1.0,1861,998,5,338,5206,"(4, 15)","(4, 15)|(15, 16)|(16, 3)|(11, 5)|(9, 10)",1175,442,0,"(11, 4)",,,0,False,,
v0_13,2.0,20000,5,977703226,331,12000,0,0,0,0,8,0,16.0,102,"(3, 3)",0.0,True,False,3,1405,4467,4712,2,2.0,2240,1788,5,344,9996,"(4, 15)","(4, 15)|(11, 5)|(15, 16)|(3, 3)|(9, 10)",298,0,0,"(2, 2)",,,0,False,,
v0_13,2.0,20000,6,597096595,331,12000,0,0,0,0,0,0,0.0,69,"(3, 3)",0.0,True,True,0,,,,0,0.0,6191,3022,1,638,638,"(4, 15)","(4, 15)",255,83,0,"(1, 14)",,,0,False,,
v0_13,2.0,20000,7,216489964,331,12000,0,0,0,0,8,0,16.0,88,"(3, 3)",0.0,True,False,3,5688,5863,6023,2,2.0,4967,160,6,362,6866,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(16, 3)|(15, 16)",560,1,0,"(8, 9)",6866,,0,False,13134,
v0_13,2.0,20000,8,1884028094,331,12000,0,0,0,0,2,0,4.0,99,"(3, 3)",0.0,True,True,0,,,,0,0.0,3524,3871,5,340,9325,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(16, 3)|(11, 5)",753,80,0,"(1, 11)",,,0,False,,
v0_13,2.0,20000,9,1503421463,331,12000,0,0,0,0,2,1,6.0,63,"(3, 3)",0.0,True,False,1,19018,,19018,0,0.0,3614,4962,2,358,3273,"(4, 15)","(4, 15)|(3, 3)",1202,6,0,"(8, 6)",,,0,False,,
v0_13,5.0,20000,0,2101982337,331,12000,0,0,0,0,3,0,15.0,104,"(3, 3)",0.0,True,False,1,4961,,4961,0,0.0,2341,2972,6,672,14087,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(11, 5)|(15, 16)|(3, 3)",739,312,0,"(17, 6)",14087,,0,False,5913,
v0_13,5.0,20000,1,1721375706,331,12000,0,0,0,0,4,0,20.0,58,"(3, 3)",0.0,True,False,1,8680,,8680,0,0.0,3019,122,2,1098,1533,"(4, 15)","(4, 15)|(3, 3)",1317,556,0,"(17, 12)",,,0,False,,
v0_13,5.0,20000,2,1241430188,331,12000,0,0,0,0,0,0,0.0,91,"(3, 3)",0.0,True,True,0,,,,0,0.0,4013,2450,5,442,14616,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(9, 10)|(16, 3)",906,350,0,"(11, 4)",,,0,False,,
v0_13,5.0,20000,3,860823557,331,12000,0,0,0,0,6,0,30.0,76,"(3, 3)",0.0,True,False,2,11163,11570,11570,1,1.0,4442,66,5,340,4882,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(3, 3)|(15, 16)",665,106,0,"(15, 1)",,,0,False,,
v0_13,5.0,20000,4,380878039,331,12000,0,0,0,0,1,2,15.0,90,"(3, 3)",0.0,True,False,0,,,,0,0.0,3512,214,5,338,17517,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(3, 3)",1619,829,0,"(1, 16)",,,0,False,,
v0_13,5.0,20000,5,271408,331,12000,0,0,0,0,11,0,55.0,96,"(3, 3)",0.0,True,False,3,1970,8764,8823,2,2.0,3961,9243,4,542,10528,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)",405,87,0,"(13, 15)",,,0,False,,
v0_13,5.0,20000,6,1667809538,331,12000,0,0,0,0,3,0,15.0,66,"(3, 3)",0.0,True,False,0,,,,0,0.0,4742,133,2,1024,4136,"(4, 15)","(4, 15)|(15, 16)",775,184,0,"(5, 10)",,,0,False,,
v0_13,5.0,20000,7,1287202907,331,12000,0,0,0,0,9,0,45.0,83,"(3, 3)",0.0,True,False,5,2979,3230,7368,4,4.0,3974,82,6,362,10108,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(15, 16)|(16, 3)",857,89,0,"(14, 12)",10108,11691,11,True,9892,1583
v0_13,5.0,20000,8,906596276,331,12000,0,0,0,0,10,0,50.0,94,"(3, 3)",0.0,True,False,5,2389,2731,8589,4,4.0,3194,724,5,338,8648,"(4, 15)","(4, 15)|(11, 5)|(9, 10)|(3, 3)|(15, 16)",459,79,0,"(7, 17)",,,0,False,,
v0_13,5.0,20000,9,426650758,331,12000,0,0,0,0,6,1,35.0,103,"(3, 3)",0.0,True,False,5,631,1662,12094,4,4.0,3413,867,6,562,5839,"(15, 16)","(15, 16)|(11, 5)|(16, 3)|(9, 10)|(4, 15)|(3, 3)",448,94,0,"(3, 11)",5839,5881,67,True,14161,42
v0_13,10.0,20000,0,1814176055,331,12000,0,0,0,0,4,0,40.0,81,"(3, 3)",0.0,True,False,1,5720,,5720,0,0.0,2816,3473,5,372,7537,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(3, 3)|(11, 5)",478,0,0,"(17, 3)",,,0,False,,
v0_13,10.0,20000,1,1433569424,331,12000,0,0,0,0,6,0,60.0,103,"(3, 3)",0.0,True,False,4,5401,10236,11033,3,3.0,3866,5091,6,338,19895,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(15, 16)|(16, 3)|(3, 3)",894,71,0,"(1, 15)",19895,,0,False,105,
v0_13,10.0,20000,2,953623906,331,12000,0,0,0,0,2,2,40.0,96,"(3, 3)",0.0,True,False,1,16323,,16323,0,0.0,1432,417,5,366,9142,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(16, 3)|(9, 10)",996,66,0,"(7, 6)",,,0,False,,
v0_13,10.0,20000,3,573017275,331,12000,0,0,0,0,5,0,50.0,64,"(3, 3)",0.0,True,False,2,3954,4759,4759,1,1.0,5220,258,3,356,970,"(4, 15)","(4, 15)|(9, 10)|(15, 16)",284,1,0,"(8, 17)",,,0,False,,
v0_13,10.0,20000,4,93071757,331,12000,0,0,0,0,5,0,50.0,64,"(3, 3)",0.0,True,False,3,2193,2765,3162,2,2.0,2338,750,3,1590,2249,"(4, 15)","(4, 15)|(9, 10)|(3, 3)",506,13,0,"(10, 1)",,,0,False,,
v0_13,10.0,20000,5,1859948774,331,12000,0,0,0,0,8,0,80.0,91,"(3, 3)",0.0,True,False,2,10666,10667,10667,1,1.0,4166,1001,6,402,9954,"(15, 16)","(15, 16)|(16, 3)|(3, 3)|(11, 5)|(4, 15)|(9, 10)",983,122,0,"(12, 5)",9954,11572,5,True,10046,1618
v0_13,10.0,20000,6,1380003256,331,12000,0,0,0,0,10,0,100.0,109,"(3, 3)",0.0,True,False,3,4678,7907,11811,2,2.0,2713,1906,6,360,10539,"(4, 15)","(4, 15)|(15, 16)|(16, 3)|(9, 10)|(3, 3)|(11, 5)",1133,648,0,"(15, 1)",10539,13283,10,True,9461,2744
v0_13,10.0,20000,7,999396625,331,12000,0,0,0,0,7,0,70.0,82,"(3, 3)",0.0,True,False,2,5261,5903,5903,1,1.0,1109,1612,4,382,12272,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(16, 3)",672,436,0,"(15, 13)",,,0,False,,
v0_13,10.0,20000,8,618789994,331,12000,0,0,0,0,2,3,50.0,92,"(3, 3)",0.0,False,False,2,13307,16475,16475,1,1.0,5510,2208,5,340,16828,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(3, 3)|(9, 10)",482,139,0,"(9, 16)",,,0,False,,
v0_13,10.0,20000,9,138844476,331,12000,0,0,0,0,4,0,40.0,80,"(3, 3)",0.0,True,False,1,11354,,11354,0,0.0,965,198,6,352,7851,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(16, 3)|(3, 3)",1439,681,0,"(8, 11)",7851,,0,False,12149,
v0_13,0.1,80000,0,945163498,331,48000,0,0,0,0,8,0,0.7999999999999999,274,"(3, 3)",0.0,True,False,5,2266,2929,6621,4,4.0,9084,2454,6,378,25478,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(11, 5)|(3, 3)|(16, 3)",2706,786,0,"(5, 17)",25478,30393,37,True,54522,4915
v0_13,0.1,80000,1,564556867,331,48000,0,0,0,0,6,1,0.7,276,"(3, 3)",0.0,True,False,3,8677,8678,53015,2,2.0,12173,3296,6,1194,31539,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(16, 3)|(9, 10)|(3, 3)",2962,461,0,"(10, 13)",31539,40840,41,True,48461,9301
v0_13,0.1,80000,2,84611349,331,48000,0,0,0,0,8,0,0.7999999999999999,218,"(3, 3)",0.0,True,False,4,9763,9764,15375,3,3.0,11126,5052,5,958,45838,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(15, 16)|(16, 3)",2681,11,0,"(7, 3)",,,0,False,,
v0_13,0.1,80000,3,1851488366,331,48000,0,0,0,0,9,0,0.8999999999999999,217,"(3, 3)",0.0,True,False,5,1171,1172,39690,4,4.0,13537,219,5,811,13076,"(3, 3)","(3, 3)|(4, 15)|(11, 5)|(9, 10)|(15, 16)",3234,939,0,"(2, 2)",,,0,False,,
v0_13,0.1,80000,4,1371542848,331,48000,0,0,0,0,7,0,0.7,242,"(3, 3)",0.0,True,False,5,2171,2416,29456,4,4.0,17705,13906,6,1712,33839,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)|(3, 3)",3518,368,0,"(9, 7)",33839,35009,11,True,46161,1170
v0_13,0.1,80000,5,990936217,331,48000,0,0,0,0,1,0,0.1,210,"(3, 3)",0.0,True,True,0,,,,0,0.0,14436,2889,5,342,25187,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(3, 3)",2531,581,0,"(8, 18)",,,0,False,,
v0_13,0.1,80000,6,510990699,331,48000,0,0,0,0,10,0,0.9999999999999999,242,"(3, 3)",0.0,True,False,4,625,3053,38299,3,3.0,9263,316,5,570,37828,"(9, 10)","(9, 10)|(11, 5)|(15, 16)|(16, 3)|(4, 15)",3044,400,0,"(17, 10)",,,0,False,,
v0_13,0.1,80000,7,130384068,331,48000,0,0,0,0,9,0,0.8999999999999999,250,"(3, 3)",0.0,True,False,5,1333,1334,21245,4,4.0,16882,1202,6,534,7514,"(4, 15)","(4, 15)|(15, 16)|(16, 3)|(11, 5)|(3, 3)|(9, 10)",3892,499,0,"(3, 1)",7514,17261,827,True,72486,9747
v0_13,0.1,80000,8,1897261085,331,48000,0,0,0,0,8,0,0.7999999999999999,231,"(3, 3)",0.0,True,False,3,43441,43442,43443,2,2.0,3939,639,4,406,7526,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)",2356,15,0,"(13, 3)",,,0,False,,
v0_13,0.1,80000,9,1417315567,331,48000,0,0,0,0,8,0,0.7999999999999999,247,"(3, 3)",0.0,True,False,5,1223,1245,24576,4,4.0,10836,4951,6,819,42223,"(3, 3)","(3, 3)|(9, 10)|(4, 15)|(15, 16)|(16, 3)|(11, 5)",1155,21,0,"(16, 17)",42223,45902,81,True,37777,3679
v0_13,0.5,80000,0,1444596040,331,48000,0,0,0,0,4,0,2.0,191,"(3, 3)",0.0,True,False,1,18569,,18569,0,0.0,9386,2415,3,402,11420,"(4, 15)","(4, 15)|(11, 5)|(9, 10)",2680,643,0,"(6, 9)",,,0,False,,
v0_13,0.5,80000,1,1063989409,331,48000,0,0,0,0,4,0,2.0,198,"(3, 3)",0.0,True,False,2,7053,33549,33549,1,1.0,7841,9978,2,600,1764,"(4, 15)","(4, 15)|(9, 10)",1906,1,0,"(5, 18)",,,0,False,,
v0_13,0.5,80000,2,683382778,331,48000,0,0,0,0,7,0,3.5,259,"(3, 3)",0.0,True,False,5,2185,2212,7559,4,4.0,12227,1053,6,432,14607,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(16, 3)|(11, 5)|(3, 3)",3344,1116,0,"(15, 9)",14607,25215,53,True,65393,10608
v0_13,0.5,80000,3,203437260,331,48000,0,0,0,0,6,0,3.0,240,"(3, 3)",0.0,True,False,4,24197,28786,40609,3,3.0,9631,12635,5,532,8206,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)",2399,235,0,"(11, 1)",,,0,False,,
v0_13,0.5,80000,4,1970314277,331,48000,0,0,0,0,5,2,3.5,235,"(3, 3)",0.0,True,False,4,4170,22725,49660,3,3.0,10049,21067,5,790,49572,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(11, 5)|(15, 16)",1366,276,0,"(4, 9)",,,0,False,,
v0_13,0.5,80000,5,1490368759,331,48000,0,0,0,0,5,1,3.0,211,"(3, 3)",0.0,True,False,4,6838,31558,48521,3,3.0,9854,1155,4,392,32190,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(15, 16)",1890,9,0,"(5, 14)",,,0,False,,
v0_13,0.5,80000,6,1109762128,331,48000,0,0,0,0,6,1,3.5,257,"(3, 3)",0.0,True,False,1,48520,,48520,0,0.0,10332,6061,6,382,34008,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(16, 3)|(15, 16)|(9, 10)",4387,1653,0,"(17, 15)",34008,34913,187,True,45992,905
v0_13,0.5,80000,7,629816610,331,48000,0,0,0,0,7,0,3.5,235,"(3, 3)",0.0,True,False,4,9956,16794,40371,3,3.0,6195,477,6,564,6875,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(16, 3)|(3, 3)",3077,75,0,"(18, 1)",6875,,0,False,73125,
v0_13,0.5,80000,8,249209979,331,48000,0,0,0,0,4,0,2.0,241,"(3, 3)",0.0,True,False,2,10836,14381,14381,1,1.0,12630,3928,6,814,27581,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(16, 3)|(3, 3)",3602,658,0,"(2, 16)",27581,29009,611,True,52419,1428
v0_13,0.5,80000,9,2016086996,331,48000,0,0,0,0,13,0,6.5,233,"(3, 3)",0.0,True,False,5,12619,13211,37063,4,4.0,7688,1331,6,362,21455,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(3, 3)|(16, 3)|(11, 5)",2477,93,0,"(11, 3)",21455,21457,7,True,58545,2
v0_13,1.0,80000,0,1191821949,331,48000,0,0,0,0,12,0,12.0,283,"(3, 3)",0.0,True,False,4,8251,8486,26837,3,3.0,13874,5868,6,682,25404,"(9, 10)","(9, 10)|(15, 16)|(16, 3)|(11, 5)|(3, 3)|(4, 15)",1823,480,0,"(17, 11)",25404,25703,332,True,54596,299
v0_13,1.0,80000,1,811215318,331,48000,0,0,0,0,9,0,9.0,260,"(3, 3)",0.0,True,False,3,38683,39556,42242,2,2.0,9773,15843,6,1134,19982,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(15, 16)|(16, 3)",3468,83,0,"(6, 4)",19982,24195,183,True,60018,4213
v0_13,1.0,80000,2,331269800,331,48000,0,0,0,0,6,0,6.0,212,"(3, 3)",0.0,True,False,3,4835,8952,12392,2,2.0,8977,827,3,442,8904,"(4, 15)","(4, 15)|(9, 10)|(15, 16)",1594,141,0,"(17, 3)",,,0,False,,
v0_13,1.0,80000,3,2098146817,331,48000,0,0,0,0,11,0,11.0,217,"(3, 3)",0.0,True,False,4,30475,34935,41866,3,3.0,13327,12535,5,506,30538,"(4, 15)","(4, 15)|(11, 5)|(16, 3)|(15, 16)|(9, 10)",2383,32,0,"(6, 1)",,,0,False,,
v0_13,1.0,80000,4,1717540186,331,48000,0,0,0,0,6,0,6.0,244,"(3, 3)",0.0,True,False,3,5376,6435,16531,2,2.0,10355,1504,5,1302,15684,"(9, 10)","(9, 10)|(11, 5)|(3, 3)|(4, 15)|(16, 3)",2759,31,0,"(1, 8)",,,0,False,,
v0_13,1.0,80000,5,1237594668,331,48000,0,0,0,0,10,0,10.0,262,"(3, 3)",0.0,True,False,4,8768,11104,21949,3,3.0,13735,1819,6,350,17186,"(4, 15)","(4, 15)|(3, 3)|(16, 3)|(15, 16)|(11, 5)|(9, 10)",1590,160,0,"(4, 4)",17186,18013,56,True,62814,827
v0_13,1.0,80000,6,856988037,331,48000,0,0,0,0,6,0,6.0,230,"(3, 3)",0.0,True,False,4,1777,3645,36950,3,3.0,4724,2401,6,350,39276,"(9, 10)","(9, 10)|(11, 5)|(15, 16)|(3, 3)|(16, 3)|(4, 15)",1992,265,0,"(2, 17)",39276,47652,5,True,40724,8376
