arch,run_idx,seed,hazard_cost,num_steps,object_id,closest_approach_step,closest_approach_distance,phase_at_approach,goal_relevant,pre_threshold_entries
,,,,,haz_unaff_1,533116,4.242641,2,False,0
,,,,,haz_unaff_0,533116,3.605551,2,False,0
,,,,,haz_yellow,533116,2.44949,2,True,1
,,,,,haz_yellow,533758,1.732051,2,True,1
,,,,,haz_unaff_0,533758,3.741657,2,False,0
,,,,,haz_green,534420,7.483315,2,False,0
,,,,,haz_blue,533533,5.196152,2,False,0
,,,,,dist_yellow,534192,2.44949,2,True,0
,,,,,haz_unaff_2,535038,5.656854,2,False,0
,,,,,dist_yellow,536356,2.236068,2,True,0
,,,,,haz_unaff_2,536356,5.656854,2,False,0
,,,,,haz_yellow,536386,2.44949,2,True,1
,,,,,haz_blue,536605,5.09902,2,False,0
,,,,,haz_green,537374,7.81025,2,False,0
,,,,,dist_yellow,537459,2.236068,2,True,0
,,,,,haz_unaff_1,537336,4.472136,2,False,0
,,,,,haz_unaff_0,537088,4.242641,2,False,0
,,,,,haz_unaff_2,537460,4.358899,2,False,0
,,,,,dist_yellow,538198,2.236068,2,True,0
,,,,,haz_blue,538075,5.196152,2,False,0
,,,,,haz_unaff_1,538680,5.09902,2,False,0
,,,,,haz_green,538907,7.874008,2,False,0
,,,,,haz_unaff_0,539425,3.0,2,False,0
,,,,,haz_yellow,539435,2.44949,2,True,1
,,,,,dist_yellow,539210,2.828427,2,True,0
,,,,,haz_unaff_1,539754,5.0,2,False,0
,,,,,haz_unaff_0,539654,5.0,2,False,0
,,,,,haz_green,540047,7.549834,2,False,0
,,,,,haz_blue,539787,5.196152,2,False,0
,,,,,haz_unaff_2,540047,5.385165,2,False,0
,,,,,dist_yellow,540282,2.828427,2,True,0
,,,,,haz_green,541739,7.549834,2,False,0
,,,,,haz_unaff_1,541739,4.582576,2,False,0
,,,,,haz_blue,541717,5.196152,2,False,0
,,,,,haz_unaff_2,541739,5.385165,2,False,0
,,,,,dist_yellow,541717,2.236068,2,True,0
,,,,,haz_unaff_0,541767,4.358899,2,False,0
,,,,,haz_unaff_2,542125,5.656854,2,False,0
,,,,,haz_green,542809,7.874008,2,False,0
,,,,,haz_unaff_1,542809,4.472136,2,False,0
,,,,,haz_unaff_0,542457,4.242641,2,False,0
,,,,,haz_yellow,542549,2.44949,2,True,1
,,,,,dist_yellow,542429,2.236068,2,True,0
,,,,,haz_blue,543266,4.898979,2,False,0
,,,,,haz_unaff_2,542429,5.656854,2,False,0
,,,,,haz_green,543697,6.78233,2,False,0
,,,,,haz_unaff_0,543697,3.0,2,False,0
,,,,,haz_blue,543656,4.898979,2,False,0
,,,,,dist_yellow,543626,2.236068,2,True,0
,,,,,dist_yellow,545496,3.0,2,True,0
,,,,,haz_green,546080,7.483315,2,False,0
,,,,,haz_blue,546080,5.385165,2,False,0
,,,,,haz_unaff_0,546428,4.242641,2,False,0
,,,,,haz_unaff_1,546814,4.472136,2,False,0
,,,,,dist_yellow,547353,2.44949,2,True,0
,,,,,haz_blue,547330,5.477226,2,False,0
,,,,,haz_unaff_2,547330,5.744563,2,False,0
,,,,,haz_unaff_0,546873,4.242641,2,False,0
,,,,,haz_yellow,547226,2.44949,2,True,1
,,,,,dist_yellow,548259,1.414214,2,True,0
,,,,,haz_unaff_1,548262,5.09902,2,False,0
,,,,,haz_unaff_2,548259,5.385165,2,False,0
,,,,,haz_green,548536,7.0,2,False,0
,,,,,haz_unaff_0,548536,3.741657,2,False,0
,,,,,haz_yellow,548536,3.316625,2,True,1
,,,,,haz_unaff_2,549569,6.403124,2,False,0
,,,,,haz_unaff_0,549643,4.358899,2,False,0
,,,,,haz_yellow,549643,2.44949,2,True,1
,,,,,haz_blue,549623,5.09902,2,False,0
,,,,,haz_unaff_1,550297,4.472136,2,False,0
,,,,,haz_unaff_0,550223,4.242641,2,False,0
,,,,,haz_yellow,550736,2.44949,2,True,1
,,,,,haz_green,550892,7.348469,2,False,0
,,,,,haz_unaff_1,552027,4.472136,2,False,0
,,,,,haz_unaff_0,552069,4.242641,2,False,0
,,,,,haz_yellow,552069,3.0,2,True,1
,,,,,haz_green,552027,7.874008,2,False,0
,,,,,haz_unaff_2,552191,5.09902,2,False,0
,,,,,haz_blue,552746,5.830952,2,False,0
,,,,,dist_yellow,552682,2.236068,2,True,0
,,,,,haz_unaff_2,552559,5.656854,2,False,0
,,,,,haz_green,552603,7.874008,2,False,0
,,,,,haz_yellow,553500,2.44949,2,True,1
,,,,,dist_yellow,553509,2.828427,2,True,0
,,,,,haz_green,553538,7.874008,2,False,0
,,,,,haz_unaff_2,554259,6.0,2,False,0
,,,,,haz_unaff_0,554259,4.358899,2,False,0
,,,,,haz_blue,554370,5.09902,2,False,0
,,,,,haz_unaff_1,554370,4.123106,2,False,0
,,,,,haz_yellow,554693,2.44949,2,True,1
,,,,,dist_yellow,554756,1.414214,2,True,0
,,,,,haz_green,555493,8.124038,2,False,0
,,,,,haz_unaff_1,555493,3.741657,2,False,0
,,,,,haz_unaff_0,555493,3.605551,2,False,0
,,,,,haz_blue,555490,5.477226,2,False,0
,,,,,haz_yellow,555448,2.236068,2,True,1
,,,,,dist_yellow,557079,1.414214,2,True,0
,,,,,haz_unaff_0,557149,5.09902,2,False,0
,,,,,haz_green,557312,8.306624,2,False,0
,,,,,haz_unaff_1,557312,4.582576,2,False,0
,,,,,haz_blue,557194,5.744563,2,False,0
,,,,,haz_unaff_2,557390,5.656854,2,False,0
,,,,,dist_yellow,558184,2.0,2,True,0
,,,,,haz_unaff_1,558304,3.741657,2,False,0
,,,,,haz_unaff_1,559663,4.898979,2,False,0
,,,,,haz_unaff_0,559663,4.358899,2,False,0
,,,,,haz_yellow,559663,2.44949,2,True,1
,,,,,haz_green,559946,7.874008,2,False,0
,,,,,haz_blue,559925,5.196152,2,False,0
,,,,,haz_unaff_2,559925,5.656854,2,False,0
,,,,,dist_yellow,559986,1.414214,2,True,0
,,,,,haz_green,560932,8.185353,2,False,0
,,,,,haz_unaff_1,560795,4.582576,2,False,0
,,,,,haz_unaff_0,560795,4.242641,2,False,0
,,,,,haz_yellow,560768,2.44949,2,True,1
,,,,,dist_yellow,561592,2.236068,2,True,0
,,,,,haz_unaff_2,561729,5.656854,2,False,0
,,,,,haz_blue,561969,4.898979,2,False,0
,,,,,haz_green,562982,9.0,2,False,0
,,,,,haz_blue,563233,5.0,2,False,0
,,,,,haz_unaff_0,562958,5.09902,2,False,0
,,,,,haz_unaff_2,563242,6.708204,2,False,0
,,,,,haz_yellow,562564,2.44949,2,True,1
,,,,,dist_yellow,563994,2.44949,2,True,0
,,,,,haz_green,565284,7.874008,2,False,0
,,,,,haz_unaff_1,565355,3.741657,2,False,0
,,,,,haz_unaff_0,565355,3.0,2,False,0
,,,,,haz_blue,565301,5.196152,2,False,0
,,,,,haz_green,566627,7.483315,2,False,0
,,,,,dist_yellow,566627,1.732051,2,True,0
,,,,,haz_blue,566627,4.123106,2,False,0
,,,,,haz_unaff_2,566627,4.242641,2,False,0
,,,,,haz_green,567351,8.062258,2,False,0
,,,,,haz_unaff_1,567350,4.582576,2,False,0
,,,,,haz_unaff_0,567351,3.741657,2,False,0
,,,,,haz_blue,568071,5.477226,2,False,0
,,,,,haz_green,568710,8.246211,2,False,0
,,,,,haz_unaff_2,567863,5.656854,2,False,0
