arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count
v1_10,0,565380326,10.0,320000,515,192000,,,,10.0,520,122401,"['att_free_1', 'att_free_2', 'att_green', 'att_free_0', 'att_yellow']",148923,148927,True,520,122401,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_green']",1,0,0,121908,,1,True,locate_family,GREEN,160000,True,148921,11079,False,,,1,1083,252,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",5045,1083,0.7853,True,148927,4,0
v1_10,1,184773695,10.0,320000,515,192000,,,,10.0,723,21558,"['att_free_2', 'att_yellow', 'att_free_3', 'att_free_0', 'att_green']",124609,124683,True,723,21558,"['haz_unaff_2', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,375,,1,True,locate_family,YELLOW,160000,True,865,159135,False,,,0,1302,407,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3533,1302,0.6315,True,124683,74,0
v1_10,2,1852311825,10.0,320000,515,192000,,,,10.0,518,3348,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,,False,518,3348,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,30,,1,True,bank_hazard_within_budget,haz_green,160000,True,3348,156652,False,,,0,618,133,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",783,618,0.2107,False,,,0
v1_10,3,1471705194,10.0,320000,515,192000,,,,10.0,1378,1884,"['att_yellow', 'att_free_3', 'att_free_0', 'att_free_2']",,,False,1378,1614,"['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']","['haz_unaff_2', 'haz_unaff_0', 'haz_yellow']",1,0,0,885,,1,True,locate_family,GREEN,160000,False,,,True,,,0,820,292,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1032,820,0.2054,False,,,0
v1_10,4,1091098563,10.0,320000,515,192000,,,,20.0,522,151603,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",,,False,522,151596,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,1,0,34,13004,2,True,locate_family,YELLOW,160000,True,529,159471,False,,,1,1201,431,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",4211,1201,0.7148,False,,,0
v1_10,5,611153045,10.0,320000,515,192000,24877,,24877,40.0,59637,92084,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,,False,59637,92084,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,3,59148,,4,True,bank_hazard_within_budget,haz_green,160000,True,92084,67916,False,,,0,658,112,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",964,658,0.3174,False,,,0
v1_10,6,230546414,10.0,320000,515,192000,,,,10.0,518,685,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",72264,72270,True,518,666,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2', 'haz_green']",1,0,0,30,,1,True,locate_family,GREEN,160000,True,72262,87738,False,,,1,1081,211,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",5709,1081,0.8106,True,72270,6,0
v1_10,7,1898084544,10.0,320000,515,192000,,,,10.0,518,6263,"['att_free_1', 'att_free_3', 'att_free_0', 'att_yellow', 'att_green']",59235,59510,True,518,6263,"['haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_green']","['haz_unaff_2', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_green']",1,0,0,229,,1,True,locate_family,YELLOW,160000,True,724,159276,False,,,1,1182,327,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",4004,1182,0.7048,True,59510,275,0
v1_10,8,1517477913,10.0,320000,515,192000,,,,10.0,1511,6251,"['att_yellow', 'att_free_3', 'att_free_2', 'att_green', 'att_free_0']",,,False,1511,5732,"['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,1018,,1,True,bank_hazard_within_budget,haz_green,160000,True,5732,154268,False,,,0,642,129,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",802,642,0.1995,False,,,0
v1_10,9,1037532395,10.0,320000,515,192000,,,,20.0,1057,20619,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0']",,,False,1057,18846,"['haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_2']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,1,564,,2,True,locate_family,GREEN,160000,False,,,True,,,0,977,306,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1246,977,0.2159,False,,,0
