arch,run_idx,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,statements_q4,statements_q5,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated,q4_statement_count,suppressed_approach_count,goal_relevant_suppressed_count,br_statement_count,revised_expectation_count,mean_approach_delta,bias_effective,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count
v1_11,0,496635339,1.0,320000,797,9,8,7,772,1,0,8,5,1,True,1,True,False,772,772,243,1,1,971.0,True,960,772,0.1958,False,,1,6.0,1,1
v1_11,1,16689821,1.0,320000,949,9,8,7,924,1,0,7,5,1,True,2,True,True,924,924,291,1,1,983.0,True,1217,924,0.2408,False,,1,6.0,1,1
v1_11,2,1783566838,1.0,320000,732,8,8,6,709,1,0,8,4,1,True,0,True,False,709,709,155,1,1,849.0,True,899,709,0.2113,False,,1,6.0,1,1
v1_11,3,1303621320,1.0,320000,710,7,8,6,689,0,0,5,5,0,True,2,True,True,689,689,245,0,0,0.0,False,869,689,0.2071,False,,0,0.0,0,0
v1_11,4,923014689,1.0,320000,766,8,8,7,742,1,0,6,5,1,True,2,True,False,742,742,287,1,1,913.0,True,962,742,0.2287,False,,1,6.0,1,1
v1_11,5,542408058,1.0,320000,700,8,8,6,677,1,0,8,4,1,True,0,True,False,677,677,145,1,1,955.0,True,877,677,0.2281,False,,1,6.0,1,1
v1_11,6,62462540,1.0,320000,822,8,8,6,799,1,0,8,4,1,True,0,True,False,799,799,264,1,1,957.0,True,988,799,0.1913,False,,1,6.0,1,1
v1_11,7,1829339557,1.0,320000,2283,13,8,3,2259,0,0,11,2,0,True,2,True,False,2259,2259,540,0,0,0.0,False,8205,2259,0.7247,True,144,0,0.0,0,0
v1_11,8,1349394039,1.0,320000,1251,13,10,2,1226,0,0,12,1,0,True,1,True,False,1226,1226,179,0,0,0.0,False,4677,1226,0.7379,True,53,0,0.0,0,0
v1_11,9,968787408,1.0,320000,1942,13,10,2,1917,0,0,11,1,0,True,2,True,False,1917,1917,322,0,0,0.0,False,9127,1917,0.79,True,21,0,0.0,0,0
v1_11,0,271697600,2.0,320000,1191,13,10,2,1166,0,0,11,1,0,True,2,True,False,1166,1166,221,0,0,0.0,False,6633,1166,0.8242,True,5798,0,0.0,0,0
v1_11,1,1939235730,2.0,320000,2906,13,10,2,2881,0,0,11,1,0,True,2,True,False,2881,2881,985,0,0,0.0,False,24872,2881,0.8842,True,4736,0,0.0,0,0
v1_11,2,1558629099,2.0,320000,3060,15,10,6,3029,0,0,13,5,0,True,2,True,False,3029,3029,604,0,0,0.0,False,44645,3029,0.9322,True,12862,0,0.0,0,0
v1_11,3,1178022468,2.0,320000,684,3,8,4,669,0,0,3,3,0,True,0,True,False,669,669,244,0,0,0.0,False,826,669,0.1901,False,,0,0.0,0,0
v1_11,4,698076950,2.0,320000,927,8,8,6,904,1,0,6,4,1,True,2,True,True,904,904,257,1,1,928.0,True,1199,904,0.246,False,,1,6.0,1,1
v1_11,5,317470319,2.0,320000,1736,13,10,2,1711,0,0,12,1,0,True,1,True,False,1711,1711,240,0,0,0.0,False,5668,1711,0.6981,True,5095,0,0.0,0,0
v1_11,6,1985008449,2.0,320000,1027,11,10,7,998,1,0,9,5,1,True,2,True,False,998,998,268,1,1,943.0,True,2251,998,0.5566,False,,1,6.0,1,1
v1_11,7,1604401818,2.0,320000,2795,13,10,6,2766,0,0,11,5,0,True,2,True,False,2766,2766,718,0,0,0.0,False,22780,2766,0.8786,True,3927,0,0.0,0,0
v1_11,8,1124456300,2.0,320000,707,8,8,6,684,1,0,8,4,1,True,0,True,False,684,684,145,1,1,907.0,True,866,684,0.2102,False,,1,6.0,1,1
v1_11,9,743849669,2.0,320000,695,4,8,6,677,0,0,3,5,0,True,1,True,False,677,677,246,0,0,0.0,False,856,677,0.2091,False,,0,0.0,0,0
v1_11,0,565380326,10.0,320000,2060,13,8,2,2037,0,0,11,1,0,True,2,True,False,2037,2037,389,0,0,0.0,False,16097,2037,0.8735,False,,0,0.0,0,0
v1_11,1,184773695,10.0,320000,818,9,8,7,793,1,0,7,5,1,True,2,True,True,793,793,237,1,1,913.0,True,1009,793,0.2141,False,,1,6.0,1,1
v1_11,2,1852311825,10.0,320000,654,9,8,7,629,1,0,9,5,1,True,0,True,True,629,629,143,1,1,987.0,True,830,629,0.2422,False,,1,6.0,1,1
v1_11,3,1471705194,10.0,320000,862,7,8,6,840,1,0,7,4,1,True,0,True,False,840,840,296,1,1,982.0,True,1068,840,0.2135,False,,1,6.0,1,1
v1_11,4,1091098563,10.0,320000,3210,13,8,3,3186,0,0,11,2,0,True,2,True,False,3186,3186,1129,0,0,0.0,False,19266,3186,0.8346,False,,0,0.0,0,0
v1_11,5,611153045,10.0,320000,717,11,8,10,687,1,0,10,7,4,True,0,True,True,687,687,119,2,2,974.0,True,1079,687,0.3633,False,,1,6.0,1,1
v1_11,6,230546414,10.0,320000,2656,13,8,2,2633,0,0,11,1,0,True,2,True,False,2633,2633,355,0,0,0.0,False,17253,2633,0.8474,True,17,0,0.0,0,0
v1_11,7,1898084544,10.0,320000,3356,13,8,2,3333,0,0,11,1,0,True,2,True,False,3333,3333,1108,0,0,0.0,False,23476,3333,0.858,False,,0,0.0,0,0
v1_11,8,1517477913,10.0,320000,674,9,8,7,649,1,0,9,5,1,True,0,True,True,649,649,131,1,1,950.0,True,822,649,0.2105,False,,1,6.0,1,1
v1_11,9,1037532395,10.0,320000,1021,8,8,7,997,1,0,8,4,2,True,0,True,False,997,997,310,2,2,907.0,True,1309,997,0.2383,False,,1,6.0,1,1
