==============================================================================================
META-REPORT: v0.9 COST-BASED HAZARDS — 140 RUNS ACROSS 14 CONDITIONS
==============================================================================================

Cost levels: 0.1, 0.5, 1.0, 2.0, 5.0, 10.0
Runs per condition: 10
Life length per run: 20000 steps
Threshold-crossing defined as: hazard entries >= 3

PER-RUN RESULTS (grouped by mode and cost)
----------------------------------------------------------------------------------------------
                  mode |  cost | run | P3conc | P3feat | mast | on | ent P2 | ent P3 |   cost | viol
      cost_no_aversion |  10.0 |   7 |   32.7 |   5.82 |   97 |  4 |      7 |      6 |  130.0 |  YES
      cost_no_aversion |  10.0 |   8 |   47.9 |   7.16 |   92 |  2 |      6 |      7 |  130.0 |  YES
      cost_no_aversion |  10.0 |   9 |   32.4 |   8.25 |   93 |  4 |      2 |      3 |   50.0 |  YES
      cost_no_aversion |  10.0 |  10 |   64.4 |  15.74 |   61 |  3 |      1 |      0 |   10.0 |   no
----------------------------------------------------------------------------------------------

CENTRAL TENDENCIES BY CONDITION (mean +/- std)
----------------------------------------------------------------------------------------------
                  mode |  cost |        P3conc |        P3feat |        mast |     entries |        cost
----------------------------------------------------------------------------------------------
            impassable |   0.0 |  105.5+/-29.6 |  16.62+/-7.27 |  77.3+/-15.0 |   0.0+/- 0.0 |   0.0+/- 0.0
                  cost |   0.1 |   84.8+/-36.9 |  17.03+/-6.30 |  81.7+/-19.5 |   0.0+/- 0.0 |   0.0+/- 0.0
                  cost |   0.5 |  102.2+/-37.3 |  12.40+/-9.43 |  73.2+/-15.6 |   0.0+/- 0.0 |   0.0+/- 0.0
                  cost |   1.0 |  111.3+/-30.7 |  17.26+/-8.56 |  67.8+/-22.2 |   0.0+/- 0.0 |   0.0+/- 0.0
                  cost |   2.0 |  111.1+/-38.6 |  12.97+/-9.82 |  70.5+/-15.1 |   0.0+/- 0.0 |   0.0+/- 0.0
                  cost |   5.0 |  114.1+/-27.4 |  20.06+/-4.02 |  71.7+/-15.2 |   0.0+/- 0.0 |   0.0+/- 0.0
                  cost |  10.0 |  110.2+/-33.3 |  15.64+/-8.48 |  68.5+/-15.3 |   0.0+/- 0.0 |   0.0+/- 0.0
impassable_no_aversion |   0.0 |   89.9+/-36.6 |  13.73+/-8.21 |  82.0+/-17.5 |   0.0+/- 0.0 |   0.0+/- 0.0
      cost_no_aversion |   0.1 |   91.1+/-42.7 |  15.55+/-7.79 |  73.7+/-15.3 |  56.2+/-110.4 |   5.6+/-11.0
      cost_no_aversion |   0.5 |  102.1+/-34.1 |  16.51+/-7.93 |  72.5+/-13.4 |  14.6+/-13.5 |   7.3+/- 6.7
      cost_no_aversion |   1.0 |   98.0+/-31.7 |  14.15+/-9.04 |  68.3+/-16.2 |  10.4+/-10.1 |  10.4+/-10.1
      cost_no_aversion |   2.0 |  102.3+/-34.6 |  16.70+/-7.48 |  67.4+/-15.1 |   4.9+/- 3.3 |   9.8+/- 6.5
      cost_no_aversion |   5.0 |  108.6+/-39.7 |  17.98+/-7.56 |  65.3+/-22.0 |   5.7+/- 7.2 |  28.5+/-36.2
      cost_no_aversion |  10.0 |   81.8+/-45.1 |  14.44+/-7.18 |  74.6+/-22.4 |  10.0+/-11.5 | 100.0+/-115.2

RULE ADHERENCE BY MODE
----------------------------------------------------------------------------------------------
  cost:
    Runs                              : 60
    Total hazard entries (all runs)   : 0
    Total hazard blocked attempts     : 0
    Runs with zero entries & attempts : 60/60
    Runs with rule_violated_total=YES : 0/60
    Runs with rule_violated_p3=YES    : 0/60

  cost_no_aversion:
    Runs                              : 60
    Total hazard entries (all runs)   : 1018
    Total hazard blocked attempts     : 0
    Runs with zero entries & attempts : 13/60
    Runs with rule_violated_total=YES : 41/60
    Runs with rule_violated_p3=YES    : 22/60

  impassable:
    Runs                              : 10
    Total hazard entries (all runs)   : 0
    Total hazard blocked attempts     : 0
    Runs with zero entries & attempts : 10/10
    Runs with rule_violated_total=YES : 0/10
    Runs with rule_violated_p3=YES    : 0/10

  impassable_no_aversion:
    Runs                              : 10
    Total hazard entries (all runs)   : 0
    Total hazard blocked attempts     : 1933
    Runs with zero entries & attempts : 2/10
    Runs with rule_violated_total=YES : 0/10
    Runs with rule_violated_p3=YES    : 0/10

THRESHOLD ANALYSIS BY COST LEVEL
----------------------------------------------------------------------------------------------
A cost level is 'threshold crossed' when a majority of runs at that level
have >= 3 hazard entries (pre-registered definition).

Pre-registered metric (total entries):
                  mode | c= 0.1 | c= 0.5 | c= 1.0 | c= 2.0 | c= 5.0 | c=10.0
----------------------------------------------------------------------------------------------
                  cost |   0/10- |   0/10- |   0/10- |   0/10- |   0/10- |   0/10-
      cost_no_aversion |   7/10X |   8/10X |   6/10X |   8/10X |   5/10- |   7/10X

Design-C-relevant metric (Phase 3 entries only):
                  mode | c= 0.1 | c= 0.5 | c= 1.0 | c= 2.0 | c= 5.0 | c=10.0
----------------------------------------------------------------------------------------------
                  cost |   0/10- |   0/10- |   0/10- |   0/10- |   0/10- |   0/10-
      cost_no_aversion |   4/10- |   5/10- |   4/10- |   3/10- |   3/10- |   3/10-

ATTRACTOR INDIVIDUATION BY MODE
----------------------------------------------------------------------------------------------
  cost (60 runs):
    (4, 15) chosen as top by 16/60
    (15, 16) chosen as top by 12/60
    (3, 3) chosen as top by 10/60
    (11, 5) chosen as top by 8/60
    (9, 10) chosen as top by 8/60
    (16, 3) chosen as top by 6/60
    Distinct top attractors: 6/6 available

  cost_no_aversion (60 runs):
    (4, 15) chosen as top by 21/60
    (3, 3) chosen as top by 11/60
    (16, 3) chosen as top by 10/60
    (9, 10) chosen as top by 8/60
    (15, 16) chosen as top by 6/60
    (11, 5) chosen as top by 4/60
    Distinct top attractors: 6/6 available

  impassable (10 runs):
    (4, 15) chosen as top by 5/10
    (3, 3) chosen as top by 2/10
    (15, 16) chosen as top by 2/10
    (11, 5) chosen as top by 1/10
    Distinct top attractors: 4/6 available

  impassable_no_aversion (10 runs):
    (16, 3) chosen as top by 3/10
    (4, 15) chosen as top by 2/10
    (15, 16) chosen as top by 2/10
    (3, 3) chosen as top by 2/10
    (9, 10) chosen as top by 1/10
    Distinct top attractors: 5/6 available

PHASE 3 CONCENTRATION DISTRIBUTION BY MODE
----------------------------------------------------------------------------------------------
  cost: high(>=20x)=60/60, mod(10-20x)=0/60, low(<10x)=0/60
  cost_no_aversion: high(>=20x)=60/60, mod(10-20x)=0/60, low(<10x)=0/60
  impassable: high(>=20x)=10/10, mod(10-20x)=0/10, low(<10x)=0/10
  impassable_no_aversion: high(>=20x)=10/10, mod(10-20x)=0/10, low(<10x)=0/10

PHASE 3 ATTRACTOR RATIO DISTRIBUTION BY MODE
----------------------------------------------------------------------------------------------
  cost: strong(>=5x)=48/60, mod(2-5x)=4/60, weak(<2x)=8/60
  cost_no_aversion: strong(>=5x)=52/60, mod(2-5x)=4/60, weak(<2x)=4/60
  impassable: strong(>=5x)=8/10, mod(2-5x)=2/10, weak(<2x)=0/10
  impassable_no_aversion: strong(>=5x)=7/10, mod(2-5x)=2/10, weak(<2x)=1/10

CROSS-DESIGN COMPARISON: DESIGN A vs DESIGN C AT EQUIVALENT COST LEVELS
----------------------------------------------------------------------------------------------
 cost | A entries mean | C entries mean |  A viol/10 |  C viol/10
----------------------------------------------------------------------------------------------
  0.1 |            0.0 |           56.2 |      0/10  |      7/10 
  0.5 |            0.0 |           14.6 |      0/10  |      8/10 
  1.0 |            0.0 |           10.4 |      0/10  |      6/10 
  2.0 |            0.0 |            4.9 |      0/10  |      8/10 
  5.0 |            0.0 |            5.7 |      0/10  |      5/10 
 10.0 |            0.0 |           10.0 |      0/10  |      7/10 

==============================================================================================
INTERPRETATION (summary only — detailed analysis reserved for preprint)
==============================================================================================

DESIGN A: FULL SURVIVAL. No hazard entries at any cost level. Pre-wired
aversion bias is sufficient to sustain hazard avoidance when the
architectural wall is removed. v0.8's zero-violation result is reproduced
by the bias alone, across the full pre-registered cost range.

DESIGN C: 29/60 runs show zero Phase 3 entries,
          31/60 runs show some Phase 3 entries.
See threshold analysis tables above for cost-level breakdown by both metrics.
