arch,run_idx_a,run_idx_b,seed_a,seed_b,hazard_cost,chain_object_a,chain_object_b,link_sequence_a,link_sequence_b,link_sequence_distance,within_run
v1_16,1,19,1869897005,9010,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,20,1869897005,20,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,21,1869897005,1020,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,22,1869897005,2020,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,23,1869897005,3020,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,24,1869897005,4020,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,25,1869897005,5020,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,26,1869897005,6020,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,27,1869897005,7020,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,28,1869897005,8020,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,29,1869897005,9020,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,30,1869897005,100,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,31,1869897005,1100,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,32,1869897005,2100,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,33,1869897005,3100,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,34,1869897005,4100,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,35,1869897005,5100,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,36,1869897005,6100,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,37,1869897005,7100,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,38,1869897005,8100,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,1,39,1869897005,9100,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
v1_16,2,3,1489290374,1108683743,0.1,haz_yellow,haz_yellow,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,surprise>precondition>mastery_formation>phase1_absence>suppressed_approach>belief_revision,0.0,False
