arch,run_idx,agent,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,statements_q4,statements_q5,statements_q6,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated,q4_statement_count,suppressed_approach_count,goal_relevant_suppressed_count,br_statement_count,revised_expectation_count,mean_approach_delta,bias_effective,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,predicted_record_written,predicted_record_state,social_corroboration_fired,zpd_delta
v1_15_2,18,b,28010,1.0,1000000,271,12,0,0,0,1,1,0,12,0,0,True,0,True,True,0,246,69,0,1,0.0,False,421,246,0.4157,False,,0,0.0,0,1,True,confirmed,True,149229
v1_15_2,19,a,9010,1.0,1000000,491,10,0,0,0,0,1,0,10,0,0,True,0,True,False,0,470,119,0,1,0.0,False,950,470,0.5053,False,,0,0.0,0,0,True,socially_corroborated,True,
v1_15_2,19,b,29010,1.0,1000000,1504,10,0,0,0,1,0,0,10,0,0,True,0,True,True,0,1482,373,0,1,0.0,False,1828,1482,0.1893,False,,0,0.0,0,1,True,confirmed,False,-282867
v1_15_2,20,a,20,2.0,1000000,169,11,0,0,0,1,1,0,11,0,0,True,0,True,True,0,145,21,0,1,0.0,False,295,145,0.5085,False,,0,0.0,0,1,True,confirmed,True,177756
v1_15_2,20,b,20020,2.0,1000000,35,10,0,0,0,1,0,0,10,0,0,True,0,True,True,0,12,2,0,2,0.0,False,119,12,0.8992,False,,0,0.0,0,1,True,confirmed,False,229731
v1_15_2,21,a,1020,2.0,1000000,2735,9,0,0,0,1,0,0,9,0,0,True,0,True,False,0,2715,786,0,1,0.0,False,3199,2715,0.1513,False,,0,0.0,0,1,True,unresolvable,False,
v1_15_2,21,b,21020,2.0,1000000,42,10,0,0,0,1,0,0,10,0,0,True,0,True,False,0,21,6,0,1,0.0,False,184,21,0.8859,False,,0,0.0,0,1,True,confirmed,False,229204
v1_15_2,22,a,2020,2.0,1000000,208,10,0,0,0,1,0,0,10,0,0,True,0,True,True,0,186,39,0,1,0.0,False,358,186,0.4804,False,,0,0.0,0,1,True,confirmed,False,180088
v1_15_2,22,b,22020,2.0,1000000,2883,9,0,0,0,1,0,0,9,0,0,True,0,True,False,0,2863,767,0,1,0.0,False,3399,2863,0.1577,False,,0,0.0,0,1,True,unresolvable,False,
v1_15_2,23,a,3020,2.0,1000000,44,10,0,0,0,1,1,0,10,0,0,True,0,True,True,0,21,4,0,1,0.0,False,131,21,0.8397,False,,0,0.0,0,1,True,confirmed,True,224394
v1_15_2,23,b,23020,2.0,1000000,31,10,0,0,0,1,0,0,10,0,0,True,0,True,True,0,9,2,0,1,0.0,False,113,9,0.9204,False,,0,0.0,0,1,True,confirmed,False,229726
v1_15_2,24,a,4020,2.0,1000000,2390,11,0,0,0,1,0,0,11,0,0,True,0,True,False,0,2367,667,0,2,0.0,False,2862,2367,0.173,False,,0,0.0,0,1,True,confirmed,False,-541428
v1_15_2,24,b,24020,2.0,1000000,459,10,0,0,0,1,1,0,10,0,0,True,0,True,False,0,437,127,0,1,0.0,False,661,437,0.3389,False,,0,0.0,0,1,True,confirmed,True,112727
v1_15_2,25,a,5020,2.0,1000000,33,10,0,0,0,1,0,0,10,0,0,True,0,True,True,0,11,3,0,1,0.0,False,131,11,0.916,False,,0,0.0,0,1,True,confirmed,False,229725
v1_15_2,25,b,25020,2.0,1000000,39,11,0,0,0,1,1,0,11,0,0,True,0,True,True,0,15,5,0,1,0.0,False,141,15,0.8936,False,,0,0.0,0,1,True,confirmed,True,228388
v1_15_2,26,a,6020,2.0,1000000,37,10,0,0,0,1,1,0,10,0,0,True,0,True,True,0,14,2,0,1,0.0,False,123,14,0.8862,False,,0,0.0,0,1,True,confirmed,True,228382
v1_15_2,26,b,26020,2.0,1000000,38,10,0,0,0,1,0,0,10,0,0,True,0,True,True,0,16,3,0,1,0.0,False,137,16,0.8832,False,,0,0.0,0,1,True,confirmed,False,229185
v1_15_2,27,a,7020,2.0,1000000,325,12,0,0,0,0,1,0,12,0,0,True,0,True,True,0,301,92,0,1,0.0,False,503,301,0.4016,False,,0,0.0,0,0,True,socially_corroborated,True,
v1_15_2,27,b,27020,2.0,1000000,35,11,0,0,0,1,0,0,11,0,0,True,0,True,True,0,12,4,0,1,0.0,False,136,12,0.9118,False,,0,0.0,0,1,True,confirmed,False,229704
v1_15_2,28,a,8020,2.0,1000000,48,10,0,0,0,1,1,0,10,0,0,True,0,True,False,0,26,5,0,1,0.0,False,149,26,0.8255,False,,0,0.0,0,1,True,confirmed,True,225751
v1_15_2,28,b,28020,2.0,1000000,44,10,0,0,0,1,0,0,10,0,0,True,0,True,False,0,22,7,0,2,0.0,False,138,22,0.8406,False,,0,0.0,0,1,True,confirmed,False,228229
v1_15_2,29,a,9020,2.0,1000000,358,12,0,0,0,1,1,0,12,0,0,True,0,True,True,0,332,57,0,2,0.0,False,543,332,0.3886,False,,0,0.0,0,1,True,confirmed,True,97706
v1_15_2,29,b,29020,2.0,1000000,117,11,0,0,0,1,0,0,11,0,0,True,0,True,True,0,94,18,0,1,0.0,False,219,94,0.5708,False,,0,0.0,0,1,True,confirmed,False,194231
v1_15_2,30,a,100,10.0,1000000,2499,9,0,0,0,1,0,0,9,0,0,True,0,True,True,0,2478,577,0,1,0.0,False,2954,2478,0.1611,False,,0,0.0,0,1,True,unresolvable,False,
v1_15_2,30,b,20100,10.0,1000000,508,11,0,0,0,1,0,0,11,0,0,True,0,True,True,0,485,131,0,1,0.0,False,658,485,0.2629,False,,0,0.0,0,1,True,confirmed,False,54695
v1_15_2,31,a,1100,10.0,1000000,3116,8,0,0,0,1,0,0,8,0,0,True,0,True,True,0,3096,811,0,1,0.0,False,3719,3096,0.1675,False,,0,0.0,0,1,True,unresolvable,False,
v1_15_2,31,b,21100,10.0,1000000,58,10,0,0,0,1,0,0,10,0,0,True,0,True,False,0,37,12,0,1,0.0,False,156,37,0.7628,False,,0,0.0,0,1,True,confirmed,False,223080
v1_15_2,32,a,2100,10.0,1000000,34,10,0,0,0,1,0,0,10,0,0,True,0,True,True,0,12,2,0,1,0.0,False,130,12,0.9077,False,,0,0.0,0,1,True,confirmed,False,229719
v1_15_2,32,b,22100,10.0,1000000,403,11,0,0,0,1,1,0,11,0,0,True,0,True,True,0,379,66,0,1,0.0,False,529,379,0.2836,False,,0,0.0,0,1,True,confirmed,True,41255
v1_15_2,33,a,3100,10.0,1000000,34,10,0,0,0,1,0,0,10,0,0,True,0,True,False,0,13,5,0,1,0.0,False,131,13,0.9008,False,,0,0.0,0,1,True,confirmed,False,229109
v1_15_2,33,b,23100,10.0,1000000,36,10,0,0,0,1,1,0,10,0,0,True,0,True,False,0,14,4,0,1,0.0,False,158,14,0.9114,False,,0,0.0,0,1,True,confirmed,True,229726
v1_15_2,34,a,4100,10.0,1000000,1447,11,0,0,0,1,0,0,11,0,0,True,0,True,True,0,1424,369,0,1,0.0,False,1773,1424,0.1968,False,,0,0.0,0,1,True,confirmed,False,-221494
v1_15_2,34,b,24100,10.0,1000000,144,13,0,0,0,1,1,0,13,0,0,True,0,True,True,0,118,34,0,1,0.0,False,288,118,0.5903,False,,0,0.0,0,1,True,confirmed,True,197722
v1_15_2,35,a,5100,10.0,1000000,38,13,0,0,0,1,0,0,13,0,0,True,0,True,True,0,12,2,0,2,0.0,False,121,12,0.9008,False,,0,0.0,0,1,True,confirmed,False,229597
v1_15_2,35,b,25100,10.0,1000000,2595,9,0,0,0,1,0,0,9,0,0,True,0,True,True,0,2574,456,0,1,0.0,False,3097,2574,0.1689,False,,0,0.0,0,1,True,unresolvable,False,
v1_15_2,36,a,6100,10.0,1000000,176,11,0,0,0,1,0,0,11,0,0,True,0,True,True,0,153,43,0,1,0.0,False,297,153,0.4848,False,,0,0.0,0,1,True,confirmed,False,190150
v1_15_2,36,b,26100,10.0,1000000,70,9,0,0,0,0,1,0,9,0,0,True,0,True,False,0,50,17,0,1,0.0,False,178,50,0.7191,False,,0,0.0,0,0,True,socially_corroborated,True,
v1_15_2,37,a,7100,10.0,1000000,2556,9,0,0,0,1,0,0,9,0,0,True,0,True,True,0,2535,785,0,1,0.0,False,2946,2535,0.1395,False,,0,0.0,0,1,True,unresolvable,False,
v1_15_2,37,b,27100,10.0,1000000,55,10,0,0,0,1,0,0,10,0,0,True,0,True,True,0,32,10,0,2,0.0,False,238,32,0.8655,False,,0,0.0,0,1,True,confirmed,False,225722
v1_15_2,38,a,8100,10.0,1000000,827,11,0,0,0,1,1,0,11,0,0,True,0,True,True,0,803,130,0,1,0.0,False,990,803,0.1889,False,,0,0.0,0,1,True,confirmed,True,-156793
v1_15_2,38,b,28100,10.0,1000000,684,10,0,0,0,1,0,0,10,0,0,True,0,True,True,0,662,120,0,1,0.0,False,840,662,0.2119,False,,0,0.0,0,1,True,confirmed,False,-29293
v1_15_2,39,a,9100,10.0,1000000,88,11,0,0,0,1,1,0,11,0,0,True,0,True,True,0,64,22,0,1,0.0,False,190,64,0.6632,False,,0,0.0,0,1,True,confirmed,True,215300
v1_15_2,39,b,29100,10.0,1000000,664,11,0,0,0,1,0,0,11,0,0,True,0,True,True,0,641,199,0,1,0.0,False,864,641,0.2581,False,,0,0.0,0,1,True,confirmed,False,44941
